acronym,page_title,expansion,hits,script,initials_match,looks_like_person,raw_line
VAC,VAC,מועדון סיף ואתלטיקה (הונגריה),2,latin,,False,"מועדון סיף ואתלטיקה (הונגריה) (VAC; ראשי תיבות בהונגרית: Vívó és Atlétikai Club) – אגודת הספורט היהודית הראשונה בהונגריה, שנוסדה ב-1906"
VAC,VAC,ואץ,95,latin,,False,"ואץ (בהונגרית: Vác) – עיירה בהונגריה, במחוז פשט"
אב״ג,"אב""ג",אברהם בר גוטלובר (1811,1,hebrew,True,True,"אברהם בר גוטלובר (1811–1899) – משורר, סופר, מחזאי, היסטוריון, עיתונאי ומחנך, מהחשובים שבתנועת ההשכלה"
אב״ג,"אב""ג",אוניברסיטת בן-גוריון בנגב,1758,hebrew,True,False,"אוניברסיטת בן-גוריון בנגב – אוניברסיטה ישראלית בעיר באר שבע, אשר הוקמה ב-1969 וידועה בשמה הנוכחי מ-1974"
אב״ג,"אב""ג",ארכיון בן-גוריון,15,hebrew,True,False,"ארכיון בן-גוריון – ארכיון אודות דוד בן-גוריון שהוקם להנצחת מורשתו, ראו המכון למורשת בן-גוריון#ארכיון ומרכז מבקרים"
אח״י,"אח""י","מפלגת אח""י",17,hebrew,False,False,"מפלגת אח""י – מפלגה דתית ישראלית"
אח״ם,"אח""ם",אישיות חשובה מאוד,9,hebrew,True,False,אישיות חשובה מאוד – אישיות ציבורית ידועה הנהנית מזכויות יתר עקב חשיבותה או מעמדה
אח״ם,"אח""ם",אגף החקירות והמודיעין,144,hebrew,True,False,אגף החקירות והמודיעין – אגף של משטרת ישראל
אל״ם,"אל""ם (פירושונים)",אלוף-משנה,2519,hebrew,True,False,"אלוף-משנה - אחת מדרגות צה""ל"
אל״ם,"אל""ם (פירושונים)",אביגדור בן שמחה הלוי מגלוגוי,2,hebrew,True,True,"אביגדור בן שמחה הלוי מגלוגוי – מורה ומדקדק עברי, שנודע גם בראשי התיבות אל""ם"
ב״ק,"ב""ק","ישראל ב""ק",73,hebrew,False,False,"ישראל ב""ק – מחדש הדפוס העברי בארץ ישראל לאחר הפסקה של למעלה ממאתיים שנה"
ב״ק,"ב""ק","ניסן ב""ק",64,hebrew,False,False,"ניסן ב""ק – מדפיס ספרים ואיש ציבור ביישוב הישן בארץ ישראל במאה התשע עשרה"
ב״ק,"ב""ק",שמואל בק (צייר),4,hebrew,False,False,שמואל בק (צייר) – צייר ישראלי-אמריקאי
ב״ק,"ב""ק",שמואל בק (רב),6,hebrew,False,False,שמואל בק (רב) – תלמיד חכם והיסטוריון יהודי
ב״ק,"ב""ק","שרה ב""ק",42,hebrew,False,False,"שרה ב""ק – אשת תקשורת ופובליציסטית ישראלית"
ב״ק,"ב""ק",מסכת בבא קמא,461,hebrew,False,False,מסכת בבא קמא
בט״ר,"בט""ר","בט""ר דותן (מחנה 80)",3,hebrew,True,False,"בט""ר דותן (מחנה 80) - בסיס טירונות השייך למערך המגל"
בט״ר,"בט""ר","בט""ר זיקים (בה""ד 4)",2,hebrew,True,False,"בט""ר זיקים (בה""ד 4)"
בט״ר,"בט""ר","בט""ר ניצנים",11,hebrew,True,False,"בט""ר ניצנים"
בט״ר,"בט""ר","בט""ר מחו""ה אלון",2,hebrew,True,False,"בט""ר מחו""ה אלון"
בט״ר,"בט""ר","בט""ר חוות השומר",2,hebrew,True,False,"בט""ר חוות השומר"
ביד״צ,"ביד""צ",בית דין צבאי,316,hebrew,True,False,"בית דין צבאי – בית דין הפועל במסגרת הצבא ותפקידו לשפוט חיילים וכן אזרחים הכפופים לצבא, בעבירות פליליות בלבד"
ביד״צ,"ביד""צ",בית דין צדק,78,hebrew,True,False,בית דין צדק – הרכב של דיינים מוסמכים שעורכים משפטים לפי המשפט העברי וכן מכריעים בשאלות שנוגעות להלכה היהודית
גו״ז,"גו""ז",גוף זר,109,hebrew,True,False,גוף זר – גוף זר המביא לנזקי גוף זר במערכות מכניות וכן בגוף האדם ובבעלי חיים
גו״ז,"גו""ז",גילוי וזיהוי,40,hebrew,True,False,גילוי וזיהוי – שלב בלחימה בכלל ובלחימה אטומית ביולוגית כימית בפרט. נמצא בשימוש גם בתחום הרפואה
גל״צ,"גל""צ (פירושונים)","גלי צה""ל",2444,hebrew,True,False,"גל""צ – ראשי תיבות של גלי צה""ל, תחנת רדיו ישראלית הפועלת במסגרת צה""ל"
גל״צ,"גל""צ (פירושונים)",גלגלצ,1992,hebrew,True,False,"גלגלצ – ערוץ רדיו ישראלי המופעל על ידי גלי צה""ל"
גל״צ,"גל""צ (פירושונים)","גל""ץ",33,hebrew,True,False,"גל""ץ (גם Gala'tz) – ראשי תיבות של גליל צלפים, רובה צלפים חצי-אוטומטי המבוסס על רובה הסער ""גליל"""
ד״א,"ד""א",ד' אלפים,109,hebrew,True,False,ד' אלפים – השנה העברית ב-240 לספירה
ד״א,"ד""א",דרך ארץ,583,hebrew,True,False,דרך ארץ
ד״א,"ד""א",דבר אחר,828,hebrew,True,True,דבר אחר
ד״א,"ד""א",ד' אמות,48,hebrew,True,False,ד' אמות
ד״א,"ד""א",דיני אדם,3,hebrew,True,False,"דיני אדם - במשפט העברי דינים הניתנים לתביעה בבית דין, בשונה מדיני שמים"
דו״צ,"דו""צ","מערך דובר צה""ל (יחידה צבאית)",1,hebrew,False,True,"מערך דובר צה""ל (יחידה צבאית) – מערך הדוברות של צה""ל (משויך לאגף המבצעים)"
דו״צ,"דו""צ","דובר צה""ל (קצין)",4,hebrew,True,True,"דובר צה""ל (קצין) – כינוי לקצין העומד בראש מערך ""דובר צה""ל"", ראו דובר צה""ל#דוברי צה""ל"
דו״צ,"דו""צ",ירי דו-צדדי,93,hebrew,False,False,"ירי דו-צדדי (""ירי דו""צ"") – התקפה של כוח על כוח ידידותי בגלל זיהויו ככוח אויב (מכונה גם באוקסימורון ""אש ידידותית"")"
דו״צ,"דו""צ",אימון דו-צדדי,3,hebrew,False,False,"אימון דו-צדדי (""אימון דו""צ"") – אימון בו מדמים החיילים שני צדדים לוחמים, ראו גם בִּיּוּם אויב"
דו״צ,"דו""צ",סרט דביק דו-צדדי,3,hebrew,False,False,"סרט דביק דו-צדדי (""דבק דו""צ"") – נייר דבק המצופה בדבק משני צדיו"
הגרי״ש,"הגרי""ש","הגרי""ש אלישיב",32,hebrew,True,True,"הגרי""ש אלישיב – הרב יוסף שלום אלישיב"
הגרי״ש,"הגרי""ש","הגרי""ש כהנמן",2,hebrew,True,True,"הגרי""ש כהנמן – הרב יוסף שלמה כהנמן"
הגרי״ש,"הגרי""ש","הגרי""ש אונגר",1,hebrew,True,True,"הגרי""ש אונגר – הרב יצחק שלמה אונגר אב בית דין קהילת חוג חתם סופר"
החי״ל,"החי""ל",הבריגדה היהודית,494,hebrew,False,False,"הבריגדה היהודית – הידועה גם בשם ""חטיבה יהודית לוחמת"", ובראשי תיבות: החי""ל"
החי״ל,"החי""ל",החבל הימי לישראל,78,hebrew,True,False,"החבל הימי לישראל – ובראשי תיבות: החי""ל"
הל״ה,"הל""ה (פירושונים)","מחלקת הל""ה",84,hebrew,False,False,"מחלקת הל""ה – מחלקת של לוחמי הפלמ""ח שיצאה לעזרת גוש עציון במלחמת העצמאות"
הל״ה,"הל""ה (פירושונים)","ל""ה גיבורי גוש עציון",177,hebrew,False,False,"ל""ה גיבורי גוש עציון – אוניית מעפילים שנקראה על שם המחלקה"
הל״ה,"הל""ה (פירושונים)","נתיב הל""ה",138,hebrew,False,False,"נתיב הל""ה – קיבוץ שנקרא על שם המחלקת"
הל״ה,"הל""ה (פירושונים)","הל""ה (עמותה)",2,hebrew,True,False,"הל""ה (עמותה) – עמותה למען חינוך בעיירות פיתוח"
הל״ה,"הל""ה (פירושונים)","ה'ל""ה",16,hebrew,True,False,"ה'ל""ה – שנה עברית"
הנ״ץ,"הנ""ץ",נפתלי הירץ יהודה נימנוביץ',2,hebrew,False,False,נפתלי הירץ יהודה נימנוביץ'
הנ״ץ,"הנ""ץ",הנוער הציוני,412,hebrew,True,False,הנוער הציוני
הנ״ץ,"הנ""ץ","הנ""צ",3,hebrew,True,False,"הנ""צ – הסתדרות נשים ציוניות (ויצו)"
הרא״ה,"הרא""ה",הרב אברהם יצחק הכהן קוק,554,hebrew,True,True,הרב אברהם יצחק הכהן קוק – מייסד הרבנות הראשית לישראל והוגה הדעות העיקרי של הציונות הדתית
הרא״ה,"הרא""ה","כפר הרא""ה",342,hebrew,False,True,"כפר הרא""ה – מושב דתי בעמק חפר, קרוי על שמו של הרב אברהם יצחק הכהן קוק"
השב״ס,"השב""ס",שירות בתי הסוהר,594,hebrew,False,False,שירות בתי הסוהר – רשות הכליאה הלאומית של מדינת ישראל
השב״ס,"השב""ס",השאלה בין-ספרייתית,19,hebrew,True,False,השאלה בין-ספרייתית – שירות השאלת ספרים ופריטי מידע אחרים בין ספריות
זה״ב,"זה""ב",זהירות בדרכים,63,hebrew,True,False,זהירות בדרכים
זה״ב,"זה""ב","משמרות זה""ב בישראל",6,hebrew,False,False,"משמרות זה""ב בישראל – משמרות זהירות בדרכים"
זה״ב,"זה""ב","זה""ב בגן",5,hebrew,True,False,"זה""ב בגן – תוכנית ארצית להתנדבות של גמלאים בגני ילדים בנושא בטיחות בדרכים"
זה״ב,"זה""ב","מספר זה""ב",4,hebrew,False,False,"מספר זה""ב – מערכת זיכוי העברות יומניות בזמן אמת (IBAN)"
זה״ב,"זה""ב",הימים בהם קוראים בתורה: ז' (שבת),1,hebrew,False,False,"זה""ב - הימים בהם קוראים בתורה: ז' (שבת), ה' (חמישי), ב' (שני)"
ח״ח,"ח""ח","חיזוק חיובי (קבל ח""ח)",1,hebrew,True,False,"חיזוק חיובי (קבל ח""ח)"
ח״ח,"ח""ח",חפץ חיים (ספר),4,hebrew,True,True,"חפץ חיים (ספר) – ספר להלכות לשון הרע, מאת רבי ישראל מאיר הכהן"
ח״ח,"ח""ח",חפץ חיים (קיבוץ),4,hebrew,True,False,חפץ חיים (קיבוץ) – קיבוץ דתי של פועלי אגודת ישראל
ח״ח,"ח""ח",חרדה חברתית,103,hebrew,True,False,"חרדה חברתית – הפרעת חרדה שמתאפיינת בפחד, חשש או דאגה ממגוון של מצבים חברתיים או מביצוע פעולות מסוימות בפומבי"
ח״ן,"ח""ן",חיל נשים,40,hebrew,True,False,"חיל נשים – חיל שהיה קיים בצה""ל עד שנת 2001, והיה אחראי על טיפול ספציפי בחיילות"
ח״ן,"ח""ן",חכמת נסתר,3,hebrew,True,False,חכמת נסתר – תורת הנסתר ביהדות
חנ״ה,"חנ""ה",חומר נפץ הודף,40,hebrew,True,False,"חומר נפץ הודף – בראשי תיבות: חנ""ה"
חנ״ה,"חנ""ה","מצוות חנ""ה",2,hebrew,False,False,"מצוות חנ""ה - שלוש מצוות שניתנו לנשים: חלה, נידה, הדלקת נרות"
חנ״ה,"חנ""ה",חברת הנפט הלאומית,96,hebrew,True,False,חברת הנפט הלאומית – חברת נפט בבעלות ממשלתית ישראלית שנמכרה לנפטא חברה ישראלית לנפט
יה״ש,"יה""ש",יחידת השתתפות,139,hebrew,True,False,יחידת השתתפות – נייר ערך המזכה ברווח אך לא בהשפעה על ניהול תאגיד
יה״ש,"יה""ש",יהושע השל שור,20,hebrew,True,False,יהושע השל שור – איש תנועת ההשכלה הרדיקלית בגליציה
יהב״י,"יהב""י",יקותיאל הכהן,10,hebrew,False,True,יקותיאל הכהן – (יקותיאל הנקדן בן יהודה) - בלשן ואיש מסורה. חי באירופה במחצית השנייה של המאה ה-12
יהב״י,"יהב""י",יהודה ייטלס,7,hebrew,False,True,יהודה ייטלס – (יהודה בן יונה ייטלס) - בלשן יהודי תושב פראג במפנה המאה ה-19
יו״ד,"יו""ד","האות יו""ד",39,hebrew,False,False,"האות יו""ד – האות העשירית באלף בית העברי"
יו״ד,"יו""ד",יורה דעה,990,hebrew,True,False,"יורה דעה – החלק העוסק בדיני איסור והיתר בטור ובשו""ע"
יו״ד,"יו""ד",יוד,421,hebrew,True,False,יוד – יסוד כימי שסמלו הכימי I ומספרו האטומי 53
יוע״מ,"יוע""מ",יועץ משפטי,242,hebrew,True,False,יועץ משפטי – עורך דין העוסק במתן שירותים משפטיים דרך קבע לגוף מסוים
יח״ל,"יח""ל",ישיבת חכמי לובלין,151,hebrew,True,False,ישיבת חכמי לובלין
יח״ל,"יח""ל",יחידת לבגרות,1,hebrew,True,False,יחידת לבגרות – דרך למדידת משקלו של מקצוע בבחינות הבגרות בישראל
יחב״ל,"יחב""ל",יחסים בינלאומיים,321,hebrew,True,False,יחסים בינלאומיים
יחב״ל,"יחב""ל",יחידות בינלאומיות,4,hebrew,True,False,יחידות בינלאומיות – יחידות לפעילות ביולוגית הנמצאת בשימוש בפרמקולוגיה (באנגלית IU)
יחב״ל,"יחב""ל",היחידה לחקירות בינלאומיות,1,hebrew,False,False,היחידה לחקירות בינלאומיות – יחידת משטרה האחראית על חקירות בינלאומיות ומאבק בפשע המאורגן הבינלאומי
יט״א,"יט""א","יאט""א",577,hebrew,True,False,"יאט""א – ארגון חברות התעופה הבינלאומי יאט""א (International Air Transport Association – IATA) הוא ארגון מסחר בינלאומי של חברות תעופה"
יט״א,"יט""א","יט""א",31,hebrew,True,False,"יט""א (The Jewish Teritorial Organization) - ההסתדרות הטריטוריאליסטית היהודית, ארגון בראשות ישראל זנגוויל שייצג את הזרם הטריטוריאליסטי"
יש״ר,"יש""ר",יצחק שמואל רג'יו,13,hebrew,True,True,"יצחק שמואל רג'יו – יש""ר מגוריציה – רב ופילוסוף איטלקי"
יש״ר,"יש""ר",יוסף שלמה דלמדיגו,41,hebrew,False,False,"יוסף שלמה דלמדיגו – יש""ר מקנדיה – רב, פילוסוף, רופא ואסטרונום מכרתים"
כ״ס,"כ""ס (פירושונים)",כוח סוס,469,hebrew,True,False,כוח סוס – יחידת מידה להספק
כ״ס,"כ""ס (פירושונים)",כפר סבא,2565,hebrew,True,False,כפר סבא – עיר בישראל
כ״ס,"כ""ס (פירושונים)",כתב סתר,7,hebrew,True,False,כתב סתר – אמצעי לתקשורת מוצפנת
כד״א,"כד""א",כדוריות דם אדומות,68,hebrew,True,False,כדוריות דם אדומות – תאי דם שתפקידם העיקרי הוא להוביל חמצן
כד״א,"כד""א",כדור הארץ,7804,hebrew,True,False,כדור הארץ – כוכב הלכת ארץ
כד״א,"כד""א",כמה דאת אמר,5,hebrew,True,False,"כמה דאת אמר, בלשון ארמית"
להב״ה,"להב""ה",למניעת התבוללות בארץ הקודש,10,hebrew,True,False,"להב""ה – למניעת התבוללות בארץ הקודש"
להב״ה,"להב""ה",לצמצום הפער הדיגיטלי בחברה הישראלית,6,hebrew,True,False,"להב""ה - לצמצום הפער הדיגיטלי בחברה הישראלית"
לו״ז,"לו""ז",לוחמה זעירה,84,hebrew,True,False,לוחמה זעירה
לו״ז,"לו""ז",לוח זמנים,939,hebrew,True,False,לוח זמנים
מ״א,"מ""א",מגן אברהם,276,hebrew,True,False,"מגן אברהם – פירוש מרכזי ל""שולחן ערוך"""
מ״א,"מ""א",מוסמך אוניברסיטה (נקרא גם 'תואר שני'),1,hebrew,True,False,מוסמך אוניברסיטה (נקרא גם 'תואר שני') – תואר אקדמי
מ״א,"מ""א",מועצה אזורית,4397,hebrew,True,False,מועצה אזורית – צורת שלטון מקומי המאגדת מבחינה מוניציפלית מספר יישובים כפריים או קהילתיים באזור גאוגרפי מסוים
מ״א,"מ""א",המפקדה הארצית,101,hebrew,False,False,"המפקדה הארצית – הגוף שהופקד על הניהול הכולל של ארגון ""ההגנה"""
מ״א,"מ""א",מספר אישי,59,hebrew,True,False,"מספר אישי – קוד המשמש לזיהוי אדם בקבוצה גדולה (בדומה למספר זהות), על פי רוב במערכת צבאית"
מ״מ,"מ""מ",מילימטר,1632,hebrew,True,False,מילימטר – אלפית המטר
מ״מ,"מ""מ",ממלא מקום,1575,hebrew,True,False,ממלא מקום – אדם המאייש משרה באופן זמני
מ״מ,"מ""מ",מפקד מחלקה,302,hebrew,True,False,"מפקד מחלקה – חייל, לרוב קצין זוטר בדרגת סגן-משנה או סגן, המפקד על מחלקה (קבוצה של כמה עשרות חיילים, בעיקר ביחידות השדה). אין לבלבל עם ראש מחלקה (רמ""ח), שהוא קצין בכיר (בדרך כלל אל""ם) העומד בראש חלק ממפקדה"
מ״מ,"מ""מ","סיכת מ""מ",14,hebrew,False,True,"סיכת מ""מ – סיכה המוענקת לבוגרי קורסי הקצינים בצה""ל (ובעבר בארגון ההגנה)"
מ״מ,"מ""מ",מערך המבצעים המיוחדים,58,hebrew,True,False,"מערך המבצעים המיוחדים – יחידה של אגף המודיעין בצה""ל"
מ״מ,"מ""מ",מרחב מטרי,137,hebrew,True,False,מרחב מטרי
מ״מ,"מ""מ",מרחב מכפלה,98,hebrew,True,False,מרחב מכפלה
מ״מ,"מ""מ",משתנה מקרי,185,hebrew,True,False,משתנה מקרי
מ״מ,"מ""מ",מרחב מדגם,6,hebrew,True,False,מרחב מדגם – מרחב הסתברות
מ״מ,"מ""מ",מגיד מישרים,111,hebrew,True,False,מגיד מישרים
מא״ש,"מא""ש",מרדכי איש-שלום,118,hebrew,True,False,"מרדכי איש-שלום – חתם בראשי התיבות מא""ש, ראש עיריית ירושלים"
מא״ש,"מא""ש",מאיר איש-שלום,30,hebrew,True,False,"מאיר איש-שלום – חתם בראשי התיבות מא""ש, חוקר יהדות"
מא״ש,"מא""ש",מאה שערים,562,hebrew,True,False,מאה שערים – שכונה בירושלים
מא״ש,"מא""ש",המרכז לאימונים באש,31,hebrew,False,False,"מא""ש – המרכז לאימונים באש, אחד מארבעת המרכזים במרכז הלאומי לאימונים ביבשה"
מג״ל,"מג""ל",מגל (בעבר מערך גיבוי לחימה),1,hebrew,True,True,"מגל (בעבר מערך גיבוי לחימה) - מערך בצה""ל האחראי על שלב הטירונות של חיילים ביחידות תומכות לחימה ועורפיות"
מג״ל,"מג""ל","מג""ל (רובה)",2,hebrew,True,False,"מג""ל (רובה) – רובה משטרה ישראלי מקוצר המבוסס על מיקרו גליל"
מג״ל,"מג""ל",המכון הגבוה לתורה,33,hebrew,False,False,המכון הגבוה לתורה – מוסד ישיבתי תורני ומדרשה תורנית לנשים הפועל בתוך אוניברסיטת בר-אילן
מג״ל,"מג""ל",שם עט של גיורא לשם,1,hebrew,False,True,"מג""ל - שם עט של גיורא לשם"
מד״ח,"מד""ח",מדריך חוץ וטבע,2,hebrew,True,False,מדריך חוץ וטבע – תפקיד מנהלתי בתנועת הנוער העובד והלומד ובחטיבת בני המושבים
מד״ח,"מד""ח",משוואות דיפרנציאליות חלקיות,103,hebrew,True,False,משוואות דיפרנציאליות חלקיות
מד״ן,"מד""ן",מספן המודיעין,79,hebrew,True,False,מספן המודיעין
מד״ן,"מד""ן","מדריך נוער (צה""ל)",4,hebrew,True,False,"מדריך נוער (צה""ל)"
מד״ן,"מד""ן",משה דוד גאון,247,hebrew,True,False,משה דוד גאון
מהו״ת,"מהו""ת","פגישת מהו""ת",3,hebrew,False,False,"פגישת מהו""ת – הליך משפטי בתביעות מסוימות, שנועד לבחינת האפשרות לפתרון הסכסוך באמצעות גישור"
מהו״ת,"מהו""ת",מרכז התעצמות ותובנה,2,hebrew,True,False,מרכז התעצמות ותובנה - מרכז עזרה לסטודנטים בעלי לקויות הלמידה במכללת סמינר הקיבוצים
מהו״ת,"מהו""ת",מרכז הערבות והתמודדות בחירום,1,hebrew,True,False,מרכז הערבות והתמודדות בחירום - מרכז טיפול במצבי חירום במועצה אזורית שומרון
מהו״ת,"מהו""ת",מידע,129370,hebrew,False,True,"מידע, הדרכה ותעסוקה לנשים - עמותה המקדמת שינוי במצבן הכלכלי והתעסוקתי של נשים"
מהו״ת,"מהו""ת",מרכז השתלמויות ותנופה,1,hebrew,True,False,"מרכז השתלמויות ותנופה - ""בית מדרש"" למורים. גוף המגבש השתלמויות לסגל הוראה בחינוך ממלכתי דתי"
מהו״ת,"מהו""ת",מרכז הערכה ופיתוח תוכניות,1,hebrew,True,False,מרכז הערכה ופיתוח תוכניות - חברה שמבצעת הערכת תוכניות ופרויקטים
מהו״ת,"מהו""ת","יום מהו""ת (מורה-הורה-תלמיד)",1,hebrew,False,False,"יום מהו""ת (מורה-הורה-תלמיד) - יום הורים בבית ספר"
מהר״י,"מהר""י",רבי יצחק אבוהב (גאון קסטיליה),22,hebrew,False,True,"רבי יצחק אבוהב (גאון קסטיליה) - מהר""י אבוהב, מגדולי חכמי ישראל במאה הט""ו"
מהר״י,"מהר""י",רבי יעקב בירב,60,hebrew,False,True,"רבי יעקב בירב - מהר""י בירב, מגדולי חכמי ארץ ישראל במאות הט""ו והט""ז, מחדש הסמיכה"
