item_id,acronym,sentence,provisional_expansion,sense_id,gold_expansion,label_status,n_candidates,candidates,provenance,multi_sense_type,source,page_title,review_verdict,review_note,label_origin,category
ha-02913,רשב״ג,"אבן גבירול חוקר הנפש, הצופה, 7 באוקטובר 1960 הרב אורי שרקי, רבינו סעדיה גאון, בעל חובות הלבבות, רשב״ג, בעל הכוזרי ועוד, מתוך הסדרה ""מבוא לתורה שבעל פה"", אתר מכון מאיר.",רבי שלמה אבן גבירול,רשב״ג.01,רבי שלמה אבן גבירול,weak,2,רבן שמעון בן גמליאל | רבי שלמה אבן גבירול,substituted,yes,wikipedia,שלמה אבן גבירול,unreviewed,,substitution,wiki_substituted
ha-02914,רשב״ג,"הידוע שבפייטנים אלה הוא רשב״ג, אך אזהרות חשובות הן גם אזהרות רבי יצחק בן ראובן אלברגלוני, אזהרות רבנו אליהו הזקן, ואזהרותיו של רבי בנימן בן שמואל שנתגלו בגניזה הקהירית.",רבי שלמה אבן גבירול,רשב״ג.01,רבי שלמה אבן גבירול,weak,2,רבן שמעון בן גמליאל | רבי שלמה אבן גבירול,substituted,yes,wikipedia,אזהרות,unreviewed,,substitution,wiki_substituted
ha-02915,רשב״ג,בארצות צפון אפריקה נהגו לקרוא את האזהרות של רבי יצחק בן ראובן אלברגלוני ואילו בארצות המזרח נהגו לקרוא את האזהרות של רשב״ג.,רבי שלמה אבן גבירול,רשב״ג.01,רבי שלמה אבן גבירול,weak,2,רבן שמעון בן גמליאל | רבי שלמה אבן גבירול,substituted,yes,wikipedia,אזהרות,unreviewed,,substitution,wiki_substituted
ha-02916,רשב״ג,"עם זאת, יש שהוא מופיע גם בשם ""רשב״ג"" ללא תוספת, והדבר יוצר בלבול וקושי בהבחנה בינו לבין נכדו.",רבן שמעון בן גמליאל,רשב״ג.02,רבן שמעון בן גמליאל,weak,2,רבן שמעון בן גמליאל | רבי שלמה אבן גבירול,substituted,yes,wikipedia,רבן שמעון בן גמליאל הזקן,unreviewed,,substitution,wiki_substituted
ha-02917,רשב״ג,"רשב״ג נמנה עם מחנה המתונים, יחד עם רבן יוחנן בן זכאי, והיה מקורב לממשלת המרד המתונה שהוקמה בתחילתו.",רבן שמעון בן גמליאל,רשב״ג.02,רבן שמעון בן גמליאל,weak,2,רבן שמעון בן גמליאל | רבי שלמה אבן גבירול,substituted,yes,wikipedia,רבן שמעון בן גמליאל הזקן,unreviewed,,substitution,wiki_substituted
ha-02918,רשב״ג,"סבו, רשב״ג הזקן, היה מנהיג הפרושים בתקופת המרד הגדול, ונהרג במהלכו.",רבן שמעון בן גמליאל,רשב״ג.02,רבן שמעון בן גמליאל,weak,2,רבן שמעון בן גמליאל | רבי שלמה אבן גבירול,substituted,yes,wikipedia,רבן שמעון בן גמליאל,unreviewed,,substitution,wiki_substituted
ha-02093,מ״ס,"כתוצאה מאיחוד הקבוצות הוגשה בקשה לרשם העמותות להוסיף לשמה של עמותת ""עירוני אשדוד"" את המילים ""מ״ס"".",מועדון ספורט,מ״ס.01,מועדון ספורט,weak,2,מועדון ספורט | מהירות סגירה,substituted,no,wikipedia,מועדון ספורט אשדוד,unreviewed,,substitution,wiki_substituted
ha-02094,מ״ס,"הבקשה אושרה ושמה של העמותה המנהלת של המועדון עד היום הוא ""מ״ס עירוני אשדוד"".",מועדון ספורט,מ״ס.01,מועדון ספורט,weak,2,מועדון ספורט | מהירות סגירה,substituted,no,wikipedia,מועדון ספורט אשדוד,unreviewed,,substitution,wiki_substituted
ha-02095,מ״ס,"במשחקה הראשון כקבוצה מאוחדת, הביסה מ״ס אשדוד את מכבי נתניה 6–0.",מועדון ספורט,מ״ס.01,מועדון ספורט,weak,2,מועדון ספורט | מהירות סגירה,substituted,no,wikipedia,מועדון ספורט אשדוד,unreviewed,,substitution,wiki_substituted
ha-01874,ממ״ם,"ממ״ם מכין סקירות, השוואות בינלאומיות, מסמכים כלכליים ואומדני עלות של הצעות חוק המונחות על שולחן הכנסת.",מרכז המחקר והמידע,ממ״ם.01,מרכז המחקר והמידע,weak,2,מרכז המחקר והמידע | מרחב מוגן מוסדי,substituted,no,wikipedia,מרכז המחקר והמידע של הכנסת,unreviewed,,substitution,wiki_substituted
ha-01875,ממ״ם,"על פי ממ״ם של הכנסת, בשנים 2022-2024 הפער בין מספר המהגרים למספר החוזרים גדל מאוד.",מרכז המחקר והמידע,ממ״ם.01,מרכז המחקר והמידע,weak,2,מרכז המחקר והמידע | מרחב מוגן מוסדי,substituted,no,wikipedia,ירידה מארץ ישראל,unreviewed,,substitution,wiki_substituted
ha-01876,ממ״ם,"על פי ממ״ם של הכנסת בין השנים 2022 ל-2024 חלה ירידה של 53% במספר התושבים החוזרים, מגמה זו החלה משנת 2020.",מרכז המחקר והמידע,ממ״ם.01,מרכז המחקר והמידע,weak,2,מרכז המחקר והמידע | מרחב מוגן מוסדי,substituted,no,wikipedia,ירידה מארץ ישראל,unreviewed,,substitution,wiki_substituted
ha-03098,ש״ז,ש״ז שונה במקצת מהשנה הסידרלית כתוצאה מהשפעתם הכבידתית של כוכבי הלכת במערכת השמש על מסלול כדור הארץ.,שנה זו,ש״ז.01,שנה זו,weak,2,שנה זו | שמואל זנוויל (כהנא),substituted,no,wikipedia,שנה,unreviewed,,substitution,wiki_substituted
ha-03099,ש״ז,"תקופת ניסן שבשנה זו היא תחילת שנת 14 (סימנה ידלוז) במחזור השמש ה-203.ש״ז היא שנת 1,841 לחורבן הבית, ושנת 2,221 לשטרות.",שנה זו,ש״ז.01,שנה זו,weak,2,שנה זו | שמואל זנוויל (כהנא),substituted,no,wikipedia,"ה'תר""ע",unreviewed,,substitution,wiki_substituted
ha-03100,ש״ז,"תקופת ניסן שבשנה זו היא תחילת שנת 14 (סימנה ידלוז) במחזור השמש ה-204.ש״ז היא שנת 1,869 לחורבן הבית, ושנת 2,249 לשטרות.",שנה זו,ש״ז.01,שנה זו,weak,2,שנה זו | שמואל זנוויל (כהנא),substituted,no,wikipedia,"ה'תרצ""ח",unreviewed,,substitution,wiki_substituted
ha-02341,ס״ט,אחד מהדגשים ששם בר ס״ט בתקופת כהונתו הוא תחום הרפואה המונעת וקידום בריאות הציבור.,סימן טוב,ס״ט.01,סימן טוב,weak,4,סימן טוב | ספרדי טהור | סופו טוב (סיפיה טב) | סינא טינא (עפר ואפר),substituted,yes,wikipedia,משה בר סימן טוב,unreviewed,,substitution,wiki_substituted
ha-02342,ס״ט,"במהלך התמודדות עם התפרצות נגיף הקורונה בישראל, מילא בר ס״ט תפקיד מרכזי בניהול והתמודדות עם המשבר.",סימן טוב,ס״ט.01,סימן טוב,weak,4,סימן טוב | ספרדי טהור | סופו טוב (סיפיה טב) | סינא טינא (עפר ואפר),substituted,yes,wikipedia,משה בר סימן טוב,unreviewed,,substitution,wiki_substituted
ha-02343,ס״ט,"כבר ב-2 בפברואר חתם בר ס״ט על צו להתמודדות עם הנגיף, וצו זה התעדכן ככל שההתפרצות הקיפה מדינות נוספות.",סימן טוב,ס״ט.01,סימן טוב,weak,4,סימן טוב | ספרדי טהור | סופו טוב (סיפיה טב) | סינא טינא (עפר ואפר),substituted,yes,wikipedia,משה בר סימן טוב,unreviewed,,substitution,wiki_substituted
ha-02344,ס״ט,"שירים מהתקליט שמשו פסקול הסרט ""זמר ס״ט"" המספר את סיפורה של יהדות ספרד.",ספרדי טהור,ס״ט.02,ספרדי טהור,weak,4,סימן טוב | ספרדי טהור | סופו טוב (סיפיה טב) | סינא טינא (עפר ואפר),substituted,yes,wikipedia,רבקה רז (זמרת),unreviewed,,substitution,wiki_substituted
ha-02345,ס״ט,"אם מסטיזו (דה סאנגלי או אספניול) נשוי לפיליפינה (אישה ממוצא ס״ט), היא תאבד את מעמדה כ""פילפינה"" ותרכוש את המעמד המשפטי של בעלה ותהפוך למסטיזה דה אספניול או לסנגלי.",ספרדי טהור,ס״ט.02,ספרדי טהור,weak,4,סימן טוב | ספרדי טהור | סופו טוב (סיפיה טב) | סינא טינא (עפר ואפר),substituted,yes,wikipedia,פיליפינים (עם),unreviewed,,substitution,wiki_substituted
ha-02346,ס״ט,"אם ""פיליפינה"" נישאה ל""אינדיאו"", מעמדה המשפטי ישתנה ל""אינדאו"", למרות היותה ממוצא ס״ט.",ספרדי טהור,ס״ט.02,ספרדי טהור,weak,4,סימן טוב | ספרדי טהור | סופו טוב (סיפיה טב) | סינא טינא (עפר ואפר),substituted,yes,wikipedia,פיליפינים (עם),unreviewed,,substitution,wiki_substituted
ha-01960,משה״ח,"משה״ח בישראל, כבמדינות אחרות בעולם, עוסק בגיבוש מדיניות החוץ של הממשלה, בביצועה ובהסברתה – המשרד מטפל בניהול יחסיה הבין-לאומיים של המדינה.",משרד החוץ,משה״ח.01,משרד החוץ,weak,2,משרד החוץ | משרד החינוך,substituted,yes,wikipedia,משרד החוץ,unreviewed,,substitution,wiki_substituted
ha-01961,משה״ח,"בעיצוב וגיבוש של מדיניות החוץ יש השפעה רבה לראש הממשלה (השפעה רבה מהשפעתו על משרדי ממשלה אחרים), ולעיתים מבצע ראש הממשלה מהלכים מדיניים חשובים באופן עצמאי, או תוך שיתוף מזערי של משה״ח.",משרד החוץ,משה״ח.01,משרד החוץ,weak,2,משרד החוץ | משרד החינוך,substituted,yes,wikipedia,משרד החוץ,unreviewed,,substitution,wiki_substituted
ha-01962,משה״ח,משה״ח אמון גם על ההסברה ויצירת תדמית חיובית למדינת ישראל.,משרד החוץ,משה״ח.01,משרד החוץ,weak,2,משרד החוץ | משרד החינוך,substituted,yes,wikipedia,משרד החוץ,unreviewed,,substitution,wiki_substituted
ha-01963,משה״ח,משה״ח הוקם רק במרץ 1949 כהמשך של מחלקת החינוך של הוועד הלאומי ובראשו הועמד זלמן שזר.,משרד החינוך,משה״ח.02,משרד החינוך,weak,2,משרד החוץ | משרד החינוך,substituted,yes,wikipedia,משרד החינוך,unreviewed,,substitution,wiki_substituted
ha-01964,משה״ח,"בשנת 1949 נחקק ביוזמת משה״ח חוק לימוד חובה, שחייב תלמידים ללמוד אך ורק בבתי ספר מוכרים.",משרד החינוך,משה״ח.02,משרד החינוך,weak,2,משרד החוץ | משרד החינוך,substituted,yes,wikipedia,משרד החינוך,unreviewed,,substitution,wiki_substituted
ha-01965,משה״ח,"עם קליטת העלייה ההמונית, הקים משה״ח בתי ספר משלו במחנות העולים ובמעברות ואסר על הקמת בתי ספר מתחרים.",משרד החינוך,משה״ח.02,משרד החינוך,weak,2,משרד החוץ | משרד החינוך,substituted,yes,wikipedia,משרד החינוך,unreviewed,,substitution,wiki_substituted
ha-03258,תו״ת,"בשנים 1985–1986 הורחבו ענפים למחלקות חדשות: מחלקת אימונים, מחלקת כוח אדם ובקרה ומחלקת תו״ת.",תכנון ותקציבים,תו״ת.01,תכנון ותקציבים,weak,2,תכנון ותקציבים | תדפיסים ותמונות,substituted,no,wikipedia,זרוע היבשה,unreviewed,,substitution,wiki_substituted
ha-01908,מע״ר,"הפניה ניתנת למטופל על ידי רופא, בדרך כלל רופא המשפחה שלו, המפנה לבדיקה של רופא מומחה, או על ידי מע״ר, המפנה לחדר מיון.",מגיש עזרה ראשונה,מע״ר.01,מגיש עזרה ראשונה,weak,3,מרכז עסקים ראשי | מגיש עזרה ראשונה | מע'אר (בערבית: المغار),substituted,yes,wikipedia,הפניה רפואית,unreviewed,,substitution,wiki_substituted
ha-01909,מע״ר,"מע״ר נקרא בטעות לעיתים חובש, אף כי הראשון זוטר ממנו בסולם הדרגות המקובל ברפואת החירום.",מגיש עזרה ראשונה,מע״ר.01,מגיש עזרה ראשונה,weak,3,מרכז עסקים ראשי | מגיש עזרה ראשונה | מע'אר (בערבית: المغار),substituted,yes,wikipedia,חובש,unreviewed,,substitution,wiki_substituted
ha-01910,מע״ר,"תמרון דחיקת הלסת נחשב לחלופה טובה יותר (ולא תמרון הטיית ראש/הרמת סנטר) כאשר מע״ר חושד שלמטופל יש פגיעה בחוט השדרה, במיוחד בחלק הצוואר של עמוד השדרה.",מגיש עזרה ראשונה,מע״ר.01,מגיש עזרה ראשונה,weak,3,מרכז עסקים ראשי | מגיש עזרה ראשונה | מע'אר (בערבית: المغار),substituted,yes,wikipedia,תמרון דחיקת לסת,unreviewed,,substitution,wiki_substituted
ha-01911,מע״ר,"בדרך כלל מע״ר ישכון לרוב במרכז העיר כדי להקל אליו את הנגישות משאר חלקי העיר, ומשם הוא מתוכנן להתרחב ולהתפשט בשלבים יותר מאוחרים אל יתר חלקי העיר.",מרכז עסקים ראשי,מע״ר.02,מרכז עסקים ראשי,weak,3,מרכז עסקים ראשי | מגיש עזרה ראשונה | מע'אר (בערבית: المغار),substituted,yes,wikipedia,מרכז עסקים ראשי,unreviewed,,substitution,wiki_substituted
ha-01912,מע״ר,מע״ר לאורך ציר כזה מיוחס לדגם העיר הליניארית שנהגה על ידי האדריכל הספרדי ארתורו סוריה בשנת 1882.,מרכז עסקים ראשי,מע״ר.02,מרכז עסקים ראשי,weak,3,מרכז עסקים ראשי | מגיש עזרה ראשונה | מע'אר (בערבית: المغار),substituted,yes,wikipedia,מרכז עסקים ראשי,unreviewed,,substitution,wiki_substituted
ha-01913,מע״ר,"מע״ר אנכי מיוחס לדגם העיר הליניארית, שנהגה על ידי האדריכל הספרדי ארתורו סוריה בשנת 1882.",מרכז עסקים ראשי,מע״ר.02,מרכז עסקים ראשי,weak,3,מרכז עסקים ראשי | מגיש עזרה ראשונה | מע'אר (בערבית: المغار),substituted,yes,wikipedia,מבנה עירוני,unreviewed,,substitution,wiki_substituted
ha-02551,פו״ם,"ביולי 2024 מונה למפקד פו״ם, ובאוגוסט 2025 מונה למפקד המכללות הצבאיות בדרגת אלוף.",המכללה הבין זרועית לפיקוד ולמטה,פו״ם.02,המכללה הבין זרועית לפיקוד ולמטה,weak,4,פיקוד ומטה | פוליטיקה וממשל | המכללה הבין זרועית לפיקוד ולמטה | פלוגות מיוחדות,substituted,no,wikipedia,דן נוימן,unreviewed,,substitution,wiki_substituted
ha-02552,פו״ם,"את גופות הנרצחים העבירו ""פו״ם"" (זונדרקומנדו) למקום שבו הותקנו רשתות מיוחדות.",פלוגות מיוחדות,פו״ם.01,פלוגות מיוחדות,weak,4,פיקוד ומטה | פוליטיקה וממשל | המכללה הבין זרועית לפיקוד ולמטה | פלוגות מיוחדות,substituted,no,wikipedia,מחנה ההשמדה טרבלינקה,unreviewed,,substitution,wiki_substituted
ha-02553,פו״ם,בתחילה היו לרגימנט שלוש פו״ם שתפקידן היה לאבטח את אנשי משרד ההגנה במהלך ביקורים ומשימות מחוץ לברלין.,פלוגות מיוחדות,פו״ם.01,פלוגות מיוחדות,weak,4,פיקוד ומטה | פוליטיקה וממשל | המכללה הבין זרועית לפיקוד ולמטה | פלוגות מיוחדות,substituted,no,wikipedia,רגימנט המשמר הוגו אברליין,unreviewed,,substitution,wiki_substituted
ha-02554,פו״ם,"עם התרבות גילויי האלימות כלפי יהודים בשנים 1935–1939 הקימו חברי הצוקונפט את ה""צוקונפט שטרום"", פו״ם אשר לקחו חלק בפעולות ההגנה שאורגנו על ידי הבונד.",פלוגות מיוחדות,פו״ם.01,פלוגות מיוחדות,weak,4,פיקוד ומטה | פוליטיקה וממשל | המכללה הבין זרועית לפיקוד ולמטה | פלוגות מיוחדות,substituted,no,wikipedia,אברהם בלום,unreviewed,,substitution,wiki_substituted
ha-01151,חו״מ,"הרעיון היה להגיע בחסות החשיכה למקום, ועד הבוקר לבנות יישוב שכולל בתוכו חו״מ.",חומה ומגדל,חו״מ.01,חומה ומגדל,weak,4,חושן משפט | חומה ומגדל | חוץ מזה | חומרים מרוכבים,substituted,yes,wikipedia,חומה ומגדל,unreviewed,,substitution,wiki_substituted
ha-01152,חו״מ,ישנה מחלוקת לגבי זהות היישוב הראשון של חו״מ.,חומה ומגדל,חו״מ.01,חומה ומגדל,weak,4,חושן משפט | חומה ומגדל | חוץ מזה | חומרים מרוכבים,substituted,yes,wikipedia,חומה ומגדל,unreviewed,,substitution,wiki_substituted
ha-01153,חו״מ,"אף על פי שמקובל למנות את כפר חיטים כיישוב ""חו״מ"" הראשון, ישנם מקורות המציינים את ניר דוד כראשון.",חומה ומגדל,חו״מ.01,חומה ומגדל,weak,4,חושן משפט | חומה ומגדל | חוץ מזה | חומרים מרוכבים,substituted,yes,wikipedia,חומה ומגדל,unreviewed,,substitution,wiki_substituted
ha-01154,חו״מ,יישום נוסף מתקבל באמצעות טבילת אריג סיבי פחמן בתרכובת מותכת כדוגמת אפוקסי לשם יצירת חו״מ המאפשרים לעצב משטחים חזקים בעלי משקל קל.,חומרים מרוכבים,חו״מ.02,חומרים מרוכבים,weak,4,חושן משפט | חומה ומגדל | חוץ מזה | חומרים מרוכבים,substituted,yes,wikipedia,סיב פחמן,unreviewed,,substitution,wiki_substituted
ha-01155,חו״מ,חו״מ הם קבוצות חומרים שבנויים משילוב של שניים או יותר חומרים.,חומרים מרוכבים,חו״מ.02,חומרים מרוכבים,weak,4,חושן משפט | חומה ומגדל | חוץ מזה | חומרים מרוכבים,substituted,yes,wikipedia,חומר,unreviewed,,substitution,wiki_substituted
ha-01156,חו״מ,"שריון מרוכב הוא מיגון לרכב קרבי משוריין וכלי רכב אחרים שמורכב מלוחות שריון העשויים ממספר שכבות של חו״מ, סגסוגות מתכתיות וחומרים אחרים, כגון חומרים קרמיים, פלסטיק ואף חללי אוויר.",חומרים מרוכבים,חו״מ.02,חומרים מרוכבים,weak,4,חושן משפט | חומה ומגדל | חוץ מזה | חומרים מרוכבים,substituted,yes,wikipedia,שריון מרוכב,unreviewed,,substitution,wiki_substituted
ha-01157,חו״מ,"חו״מ, לארמניה יש עודף אנרגיה ושוק הייצוא הגדול היחיד שלה.",חוץ מזה,חו״מ.03,חוץ מזה,weak,4,חושן משפט | חומה ומגדל | חוץ מזה | חומרים מרוכבים,substituted,yes,wikipedia,יחסי איראן–ארמניה,unreviewed,,substitution,wiki_substituted
ha-01158,חו״מ,חו״מ שתי המדינות הסכימו להעניק 100 מלגות לסטודנטים המעוניינים במוסדות להשכלה גבוהה.,חוץ מזה,חו״מ.03,חוץ מזה,weak,4,חושן משפט | חומה ומגדל | חוץ מזה | חומרים מרוכבים,substituted,yes,wikipedia,יחסי איראן–הונגריה,unreviewed,,substitution,wiki_substituted
ha-01159,חו״מ,"חו״מ זיכה אותם אלוהים בחיים ארוכים יותר על צדקתם ועל התועלת שבהמצאותיהם..."".",חוץ מזה,חו״מ.03,חוץ מזה,weak,4,חושן משפט | חומה ומגדל | חוץ מזה | חומרים מרוכבים,substituted,yes,wikipedia,הכרונולוגיה המקראית והמסורתית,unreviewed,,substitution,wiki_substituted
ha-01160,חו״מ,כיום משמש הביטוי חו״מ למכלול הדינים הנוגעים לדיני ממונות.,חושן משפט,חו״מ.04,חושן משפט,weak,4,חושן משפט | חומה ומגדל | חוץ מזה | חומרים מרוכבים,substituted,yes,wikipedia,חושן משפט,unreviewed,,substitution,wiki_substituted
ha-01161,חו״מ,אורים ותומים לרב יהונתן אייבשיץ על חו״מ.,חושן משפט,חו״מ.04,חושן משפט,weak,4,חושן משפט | חומה ומגדל | חוץ מזה | חומרים מרוכבים,substituted,yes,wikipedia,שולחן ערוך,unreviewed,,substitution,wiki_substituted
ha-01162,חו״מ,"ספר נתיבות המשפט (בעגה הישיבתית - ""הנתיבות"") הוא ביאור לחלק חו״מ בשולחן ערוך, שחובר על ידי הרב יעקב לורברבוים, רבה של העיר ליסא.",חושן משפט,חו״מ.04,חושן משפט,weak,4,חושן משפט | חומה ומגדל | חוץ מזה | חומרים מרוכבים,substituted,yes,wikipedia,נתיבות המשפט,unreviewed,,substitution,wiki_substituted
ha-02700,קו״נ,"פירושו ""קו״נ"" נדפס עשרות פעמים והוא אחד מהפירושים הפופולריים על המשנה.",קב ונקי,קו״נ.01,קב ונקי,weak,3,קולנוע | קב ונקי | קורבן נתנאל,substituted,yes,wikipedia,אלישע בן אברהם (רב),unreviewed,,substitution,wiki_substituted
ha-02701,קו״נ,מקור שם הפירוש הוא בביטוי קו״נ המתאר כמות קטנה (קב) באיכות גבוהה.,קב ונקי,קו״נ.01,קב ונקי,weak,3,קולנוע | קב ונקי | קורבן נתנאל,substituted,yes,wikipedia,אלישע בן אברהם (רב),unreviewed,,substitution,wiki_substituted
ha-02702,קו״נ,"פירוש ""קו״נ"" נדפס כ-20 פעמים מאז שיצא, ונכלל גם במהדורה המודרנית ""משנה סדורה"".",קב ונקי,קו״נ.01,קב ונקי,weak,3,קולנוע | קב ונקי | קורבן נתנאל,substituted,yes,wikipedia,אלישע בן אברהם (רב),unreviewed,,substitution,wiki_substituted
ha-02703,קו״נ,"בדרך כלל, המונח מתייחס לאדם המופיע בסרט קו״נ, בתיאטרון, או בטלוויזיה, ולעיתים מתייחס גם להופעות רחוב.",קולנוע,קו״נ.02,קולנוע,weak,3,קולנוע | קב ונקי | קורבן נתנאל,substituted,yes,wikipedia,שחקן,unreviewed,,substitution,wiki_substituted
