item_id,acronym,gold,candidates,shown_order,response,correct,valid,multi_sense_type
ha-01499,כ״כ,כיתת כוננות,כמו כן | כל כך | כיתת כוננות,כמו כן | כל כך | כיתת כוננות,C,True,True,yes
ha-01500,כ״כ,כל כך,כמו כן | כל כך | כיתת כוננות,כמו כן | כיתת כוננות | כל כך,C,True,True,yes
ha-01501,כ״כ,כל כך,כמו כן | כל כך | כיתת כוננות,כל כך | כיתת כוננות | כמו כן,A,True,True,yes
ha-01502,כ״כ,כל כך,כמו כן | כל כך | כיתת כוננות,כיתת כוננות | כמו כן | כל כך,C,True,True,yes
ha-01503,כ״כ,כמו כן,כמו כן | כל כך | כיתת כוננות,כיתת כוננות | כל כך | כמו כן,C,True,True,yes
ha-01504,כ״כ,כמו כן,כמו כן | כל כך | כיתת כוננות,כיתת כוננות | כל כך | כמו כן,C,True,True,yes
ha-01505,כ״כ,כמו כן,כמו כן | כל כך | כיתת כוננות,כמו כן | כיתת כוננות | כל כך,A,True,True,yes
ha-03282,תע״צ,תענית ציבור,תענית ציבור | תעודת עובד ציבור,תעודת עובד ציבור | תענית ציבור,B,True,True,no
ha-01888,ממ״ר,מילימטר רבוע,מפקד מרחב | מילימטר רבוע,מפקד מרחב | מילימטר רבוע,B,True,True,no
ha-01889,ממ״ר,מילימטר רבוע,מפקד מרחב | מילימטר רבוע,מילימטר רבוע | מפקד מרחב,A,True,True,no
ha-01890,ממ״ר,מילימטר רבוע,מפקד מרחב | מילימטר רבוע,מפקד מרחב | מילימטר רבוע,B,True,True,no
ha-01891,ממ״ר,מפקד מרחב,מפקד מרחב | מילימטר רבוע,מילימטר רבוע | מפקד מרחב,B,True,True,no
ha-00604,ב״ג,בן גמליאל,בן גוריון | בן גמליאל | בני גד,בן גוריון | בן גמליאל | בני גד,B,True,True,yes
ha-00605,ב״ג,בן גמליאל,בן גוריון | בן גמליאל | בני גד,בן גוריון | בן גמליאל | בני גד,B,True,True,yes
ha-00606,ב״ג,בן גמליאל,בן גוריון | בן גמליאל | בני גד,בן גמליאל | בן גוריון | בני גד,A,True,True,yes
ha-00607,ב״ג,בני גד,בן גוריון | בן גמליאל | בני גד,בן גמליאל | בן גוריון | בני גד,C,True,True,yes
ha-00608,ב״ג,בני גד,בן גוריון | בן גמליאל | בני גד,בן גמליאל | בני גד | בן גוריון,B,True,True,yes
ha-00609,ב״ג,בני גד,בן גוריון | בן גמליאל | בני גד,בני גד | בן גוריון | בן גמליאל,A,True,True,yes
ha-00843,דפ״א,דיודה פולטת אור,דיודה פולטת אור | דרך פעולה אפשרית,דרך פעולה אפשרית | דיודה פולטת אור,B,True,True,yes
ha-00844,דפ״א,דיודה פולטת אור,דיודה פולטת אור | דרך פעולה אפשרית,דרך פעולה אפשרית | דיודה פולטת אור,B,True,True,yes
ha-00845,דפ״א,דיודה פולטת אור,דיודה פולטת אור | דרך פעולה אפשרית,דיודה פולטת אור | דרך פעולה אפשרית,A,True,True,yes
ha-00846,דפ״א,דרך פעולה אפשרית,דיודה פולטת אור | דרך פעולה אפשרית,דיודה פולטת אור | דרך פעולה אפשרית,B,True,True,yes
ha-00847,דפ״א,דרך פעולה אפשרית,דיודה פולטת אור | דרך פעולה אפשרית,דיודה פולטת אור | דרך פעולה אפשרית,B,True,True,yes
ha-01377,יעב״ץ,מבעלי התוספות,"מבעלי התוספות | מחכמי מרוקו במאה ה-18 | (1698 - 1776), מגדולי הרבנים במאה ה-18","מבעלי התוספות | מחכמי מרוקו במאה ה-18 | (1698 - 1776), מגדולי הרבנים במאה ה-18",A,True,True,no
ha-01378,יעב״ץ,מבעלי התוספות,"מבעלי התוספות | מחכמי מרוקו במאה ה-18 | (1698 - 1776), מגדולי הרבנים במאה ה-18","(1698 - 1776), מגדולי הרבנים במאה ה-18 | מחכמי מרוקו במאה ה-18 | מבעלי התוספות",C,True,True,no
ha-01379,יעב״ץ,מבעלי התוספות,"מבעלי התוספות | מחכמי מרוקו במאה ה-18 | (1698 - 1776), מגדולי הרבנים במאה ה-18","(1698 - 1776), מגדולי הרבנים במאה ה-18 | מבעלי התוספות | מחכמי מרוקו במאה ה-18",B,True,True,no
ha-01528,כ״ק,כבוד קדושת,כושר קרבי | כבוד קדושת,כושר קרבי | כבוד קדושת,B,True,True,no
ha-01529,כ״ק,כושר קרבי,כושר קרבי | כבוד קדושת,כבוד קדושת | כושר קרבי,B,True,True,no
ha-01530,כ״ק,כושר קרבי,כושר קרבי | כבוד קדושת,כבוד קדושת | כושר קרבי,B,True,True,no
ha-01531,כ״ק,כושר קרבי,כושר קרבי | כבוד קדושת,כבוד קדושת | כושר קרבי,B,True,True,no
ha-02494,ע״ע,עבודה עצמית,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,ערך עצמי | עבודה עצמית | ערעור עבודה | עיין ערך,B,True,True,yes
ha-02495,ע״ע,עבודה עצמית,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,עיין ערך | ערך עצמי | ערעור עבודה | עבודה עצמית,D,True,True,yes
ha-02496,ע״ע,עבודה עצמית,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,עיין ערך | ערעור עבודה | ערך עצמי | עבודה עצמית,D,True,True,yes
ha-02497,ע״ע,עיין ערך,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,ערעור עבודה | עבודה עצמית | עיין ערך | ערך עצמי,C,True,True,yes
ha-02498,ע״ע,עיין ערך,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,עיין ערך | ערעור עבודה | ערך עצמי | עבודה עצמית,A,True,True,yes
ha-02499,ע״ע,עיין ערך,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,ערעור עבודה | עיין ערך | ערך עצמי | עבודה עצמית,B,True,True,yes
ha-02500,ע״ע,ערך עצמי,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,A,True,True,yes
ha-02501,ע״ע,ערך עצמי,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,עבודה עצמית | ערך עצמי | ערעור עבודה | עיין ערך,B,True,True,yes
ha-02502,ע״ע,ערך עצמי,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,ערך עצמי | ערעור עבודה | עבודה עצמית | עיין ערך,A,True,True,yes
ha-02612,פ״ח,פיתוחי חותם,פיתוחי חותם | פרטי חקירה,פיתוחי חותם | פרטי חקירה,A,True,True,yes
ha-02613,פ״ח,פיתוחי חותם,פיתוחי חותם | פרטי חקירה,פיתוחי חותם | פרטי חקירה,A,True,True,yes
ha-02614,פ״ח,פרטי חקירה,פיתוחי חותם | פרטי חקירה,פיתוחי חותם | פרטי חקירה,B,True,True,yes
ha-02615,פ״ח,פרטי חקירה,פיתוחי חותם | פרטי חקירה,פרטי חקירה | פיתוחי חותם,A,True,True,yes
ha-02616,פ״ח,פרטי חקירה,פיתוחי חותם | פרטי חקירה,פרטי חקירה | פיתוחי חותם,A,True,True,yes
ha-02039,מ״כ,מועדון כדורגל,מועדון כדורגל | מרכז כובד | מפקד כיתה,מועדון כדורגל | מרכז כובד | מפקד כיתה,A,True,True,yes
ha-02040,מ״כ,מועדון כדורגל,מועדון כדורגל | מרכז כובד | מפקד כיתה,מרכז כובד | מפקד כיתה | מועדון כדורגל,C,True,True,yes
ha-02041,מ״כ,מועדון כדורגל,מועדון כדורגל | מרכז כובד | מפקד כיתה,מרכז כובד | מפקד כיתה | מועדון כדורגל,C,True,True,yes
ha-02043,מ״כ,מפקד כיתה,מועדון כדורגל | מרכז כובד | מפקד כיתה,מרכז כובד | מועדון כדורגל | מפקד כיתה,C,True,True,yes
ha-02044,מ״כ,מפקד כיתה,מועדון כדורגל | מרכז כובד | מפקד כיתה,מועדון כדורגל | מרכז כובד | מפקד כיתה,C,True,True,yes
ha-02045,מ״כ,מפקד כיתה,מועדון כדורגל | מרכז כובד | מפקד כיתה,מרכז כובד | מועדון כדורגל | מפקד כיתה,C,True,True,yes
ha-02046,מ״כ,מרכז כובד,מועדון כדורגל | מרכז כובד | מפקד כיתה,מועדון כדורגל | מפקד כיתה | מרכז כובד,C,True,True,yes
ha-02047,מ״כ,מרכז כובד,מועדון כדורגל | מרכז כובד | מפקד כיתה,מועדון כדורגל | מרכז כובד | מפקד כיתה,B,True,True,yes
ha-02048,מ״כ,מרכז כובד,מועדון כדורגל | מרכז כובד | מפקד כיתה,מועדון כדורגל | מרכז כובד | מפקד כיתה,B,True,True,yes
ha-02664,צ״ק,צוות קרקע,צוות קרקע | ציוד קרקע,ציוד קרקע | צוות קרקע,B,True,True,no
ha-02665,צ״ק,צוות קרקע,צוות קרקע | ציוד קרקע,ציוד קרקע | צוות קרקע,B,True,True,no
ha-02666,צ״ק,צוות קרקע,צוות קרקע | ציוד קרקע,צוות קרקע | ציוד קרקע,A,True,True,no
ha-02667,צ״ק,ציוד קרקע,צוות קרקע | ציוד קרקע,צוות קרקע | ציוד קרקע,B,True,True,no
ha-00543,בע״פ,בעל פה,בעל פה | בעֶרֶב פסח,בעֶרֶב פסח | בעל פה,B,True,True,no
ha-00544,בע״פ,בעל פה,בעל פה | בעֶרֶב פסח,בעל פה | בעֶרֶב פסח,A,True,True,no
ha-00545,בע״פ,בעל פה,בעל פה | בעֶרֶב פסח,בעל פה | בעֶרֶב פסח,A,True,True,no
ha-01766,מהר״ש,רבי שלום מנוישטט,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רבי שלמה מלובלין | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שמואל יפה אשכנזי | רבי שלום רוקח | רבי שלום מנוישטט | רבי שמואל שניאורסון,F,True,True,yes
ha-01767,מהר״ש,רבי שלום מנוישטט,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רבי שלמה מלובלין | רבי שלום מנוישטט | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום רוקח | רבי שלום כהן מקושטא,B,True,True,yes
ha-01768,מהר״ש,רבי שלום רוקח,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רבי שלום מנוישטט | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שמואל יפה אשכנזי | רבי שלום רוקח | רבי שלום כהן מקושטא | רבי שמואל שניאורסון | רבי שלמה מלובלין,D,True,True,yes
ha-01769,מהר״ש,רבי שלום רוקח,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רבי שלמה מלובלין | רבי שלום כהן מקושטא | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלום רוקח | רבי שלום מנוישטט,F,True,True,yes
ha-01770,מהר״ש,רבי שלום רוקח,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רבי שמואל יפה אשכנזי | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלום מנוישטט | רבי שלמה מלובלין | רבי שלום כהן מקושטא | רבי שמואל שניאורסון | רבי שלום רוקח,G,True,True,yes
ha-01771,מהר״ש,רבי שמואל יפה אשכנזי,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שמואל שניאורסון | רבי שלום כהן מקושטא | רבי שלום רוקח | רבי שלמה מלובלין,A,True,True,yes
ha-01772,מהר״ש,רבי שמואל יפה אשכנזי,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין | רבי שלום רוקח | רבי שלום מנוישטט | רבי שמואל יפה אשכנזי | רבי שמואל שניאורסון | רבי שלום כהן מקושטא,E,True,True,yes
ha-01773,מהר״ש,רבי שמואל יפה אשכנזי,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רבי שלום רוקח | רבי שלום כהן מקושטא | רבי שמואל שניאורסון | רבי שלמה מלובלין | רבי שלום מנוישטט | רבי שמואל יפה אשכנזי | רבי שלמה בן יצחק לבית הלוי (השני),F,True,True,yes
ha-01774,מהר״ש,רבי שמואל שניאורסון,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה מלובלין | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שמואל שניאורסון | רבי שלום רוקח,F,True,True,yes
ha-01775,מהר״ש,רבי שמואל שניאורסון,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רבי שלום מנוישטט | רבי שמואל יפה אשכנזי | רבי שלום רוקח | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שמואל שניאורסון | רבי שלמה מלובלין | רבי שלום כהן מקושטא,E,True,True,yes
ha-01776,מהר״ש,רבי שמואל שניאורסון,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רבי שלום מנוישטט | רבי שמואל יפה אשכנזי | רבי שלום כהן מקושטא | רבי שמואל שניאורסון | רבי שלום רוקח | רבי שלמה מלובלין | רבי שלמה בן יצחק לבית הלוי (השני),D,True,True,yes
ha-01951,מר״מ,מרפאת מומחים,מרפאת מומחים | מרכז רפואה מיידי,מרפאת מומחים | מרכז רפואה מיידי,B,False,True,no
ha-01952,מר״מ,מרפאת מומחים,מרפאת מומחים | מרכז רפואה מיידי,מרכז רפואה מיידי | מרפאת מומחים,A,False,True,no
ha-03143,ש״ל,שבח לאל,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שירות לאומי | שבח לאל | 330 (מספר) | שושנים לדוד | שיבולי לקט או שיבולי הלקט,B,True,True,yes
ha-03144,ש״ל,שבח לאל,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שירות לאומי | 330 (מספר) | שבח לאל | שיבולי לקט או שיבולי הלקט | שושנים לדוד,C,True,True,yes
ha-03145,ש״ל,שבח לאל,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שבח לאל | שירות לאומי | שיבולי לקט או שיבולי הלקט | 330 (מספר) | שושנים לדוד,A,True,True,yes
ha-03146,ש״ל,שושנים לדוד,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,330 (מספר) | שושנים לדוד | שבח לאל | שיבולי לקט או שיבולי הלקט | שירות לאומי,B,True,True,yes
ha-03147,ש״ל,שושנים לדוד,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שירות לאומי | שיבולי לקט או שיבולי הלקט | שושנים לדוד | 330 (מספר) | שבח לאל,C,True,True,yes
ha-03148,ש״ל,שירות לאומי,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שבח לאל | שושנים לדוד | 330 (מספר) | שיבולי לקט או שיבולי הלקט | שירות לאומי,E,True,True,yes
ha-03149,ש״ל,שירות לאומי,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שושנים לדוד | שיבולי לקט או שיבולי הלקט | 330 (מספר) | שירות לאומי | שבח לאל,D,True,True,yes
ha-03150,ש״ל,שירות לאומי,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שבח לאל | שיבולי לקט או שיבולי הלקט | שירות לאומי | 330 (מספר) | שושנים לדוד,C,True,True,yes
ha-03324,ת״ז,תעודת זהות,תעודת זהות | תרשים זרימה | תפוח זהב,תפוח זהב | תרשים זרימה | תעודת זהות,C,True,True,yes
ha-03325,ת״ז,תעודת זהות,תעודת זהות | תרשים זרימה | תפוח זהב,תפוח זהב | תעודת זהות | תרשים זרימה,B,True,True,yes
ha-03326,ת״ז,תעודת זהות,תעודת זהות | תרשים זרימה | תפוח זהב,תפוח זהב | תרשים זרימה | תעודת זהות,C,True,True,yes
ha-03327,ת״ז,תפוח זהב,תעודת זהות | תרשים זרימה | תפוח זהב,תרשים זרימה | תעודת זהות | תפוח זהב,C,True,True,yes
ha-03328,ת״ז,תפוח זהב,תעודת זהות | תרשים זרימה | תפוח זהב,תרשים זרימה | תפוח זהב | תעודת זהות,B,True,True,yes
ha-03329,ת״ז,תפוח זהב,תעודת זהות | תרשים זרימה | תפוח זהב,תרשים זרימה | תפוח זהב | תעודת זהות,B,True,True,yes
ha-03330,ת״ז,תרשים זרימה,תעודת זהות | תרשים זרימה | תפוח זהב,תפוח זהב | תרשים זרימה | תעודת זהות,B,True,True,yes
ha-03331,ת״ז,תרשים זרימה,תעודת זהות | תרשים זרימה | תפוח זהב,תעודת זהות | תפוח זהב | תרשים זרימה,C,True,True,yes
ha-03332,ת״ז,תרשים זרימה,תעודת זהות | תרשים זרימה | תפוח זהב,תפוח זהב | תרשים זרימה | תעודת זהות,B,True,True,yes
ha-01619,מב״ם,המערכה בין המלחמות,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,המערכה בין המלחמות | מזר בכיר מתקדם | מבקר המדינה,A,True,True,yes
ha-01620,מב״ם,המערכה בין המלחמות,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,מזר בכיר מתקדם | מבקר המדינה | המערכה בין המלחמות,C,True,True,yes
ha-01621,מב״ם,המערכה בין המלחמות,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,מבקר המדינה | מזר בכיר מתקדם | המערכה בין המלחמות,C,True,True,yes
ha-01622,מב״ם,מבקר המדינה,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,מבקר המדינה | מזר בכיר מתקדם | המערכה בין המלחמות,A,True,True,yes
ha-01623,מב״ם,מבקר המדינה,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,מבקר המדינה | מזר בכיר מתקדם | המערכה בין המלחמות,A,True,True,yes
ha-01624,מב״ם,מבקר המדינה,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,המערכה בין המלחמות | מזר בכיר מתקדם | מבקר המדינה,C,True,True,yes
ha-01275,ח״צ,חברה ציבורית,חברה ציבורית | חכם צבי (ספר),חברה ציבורית | חכם צבי (ספר),A,True,True,no
ha-01276,ח״צ,חברה ציבורית,חברה ציבורית | חכם צבי (ספר),חכם צבי (ספר) | חברה ציבורית,B,True,True,no
ha-01277,ח״צ,חברה ציבורית,חברה ציבורית | חכם צבי (ספר),חכם צבי (ספר) | חברה ציבורית,B,True,True,no
ha-01700,מהרי״א,יהודה אסאד,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,יצחק אייזיק אייכנשטיין | יצחק אבוהב | יהודה אסאד | יצחק אברבנאל | יצחק אדרבי,C,True,True,yes
ha-01701,מהרי״א,יהודה אסאד,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,יצחק אייזיק אייכנשטיין | יצחק אבוהב | יהודה אסאד | יצחק אדרבי | יצחק אברבנאל,C,True,True,yes
ha-01702,מהרי״א,יצחק אבוהב,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,יצחק אייזיק אייכנשטיין | יהודה אסאד | יצחק אברבנאל | יצחק אבוהב | יצחק אדרבי,D,True,True,yes
ha-01703,מהרי״א,יצחק אבוהב,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,יצחק אדרבי | יצחק אייזיק אייכנשטיין | יהודה אסאד | יצחק אברבנאל | יצחק אבוהב,E,True,True,yes
ha-01704,מהרי״א,יצחק אבוהב,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,יצחק אדרבי | יהודה אסאד | יצחק אברבנאל | יצחק אייזיק אייכנשטיין | יצחק אבוהב,E,True,True,yes
ha-01705,מהרי״א,יצחק אברבנאל,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,יצחק אבוהב | יצחק אייזיק אייכנשטיין | יהודה אסאד | יצחק אברבנאל | יצחק אדרבי,D,True,True,yes
ha-01706,מהרי״א,יצחק אברבנאל,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,יצחק אדרבי | יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין,B,True,True,yes
ha-01707,מהרי״א,יצחק אברבנאל,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,יצחק אברבנאל | יצחק אדרבי | יצחק אייזיק אייכנשטיין | יצחק אבוהב | יהודה אסאד,A,True,True,yes
ha-01708,מהרי״א,יצחק אדרבי,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,יצחק אברבנאל | יצחק אייזיק אייכנשטיין | יצחק אדרבי | יהודה אסאד | יצחק אבוהב,C,True,True,yes
ha-01709,מהרי״א,יצחק אדרבי,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אבוהב | יצחק אדרבי | יצחק אברבנאל,D,True,True,yes
ha-01710,מהרי״א,יצחק אדרבי,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,יצחק אדרבי | יצחק אייזיק אייכנשטיין | יהודה אסאד | יצחק אבוהב | יצחק אברבנאל,A,True,True,yes
ha-03016,שב״ח,שוהה בלתי חוקי,שוהה בלתי חוקי | שימוש בלתי חוקי (בנשק),שימוש בלתי חוקי (בנשק) | שוהה בלתי חוקי,B,True,True,no
ha-03017,שב״ח,שוהה בלתי חוקי,שוהה בלתי חוקי | שימוש בלתי חוקי (בנשק),שוהה בלתי חוקי | שימוש בלתי חוקי (בנשק),A,True,True,no
ha-03018,שב״ח,שוהה בלתי חוקי,שוהה בלתי חוקי | שימוש בלתי חוקי (בנשק),שימוש בלתי חוקי (בנשק) | שוהה בלתי חוקי,B,True,True,no
ha-01881,ממ״ק,מיליון מטר מעוקב,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,מיליון מטר מעוקב | מילימטר מעוקב | מרחב מוגן קומתי | ממלא מקום קצין,A,True,True,yes
ha-01882,ממ״ק,מיליון מטר מעוקב,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,מיליון מטר מעוקב | מילימטר מעוקב | מרחב מוגן קומתי | ממלא מקום קצין,A,True,True,yes
