item_id,acronym,gold,candidates,response,correct,valid,multi_sense_type
ha-01529,כ״ק,כושר קרבי,כושר קרבי | כבוד קדושת,כ״ק היא רמת הכשירות הגופנית והמיומנויות הצבאיות הנדרשת.,False,False,no
ha-01530,כ״ק,כושר קרבי,כושר קרבי | כבוד קדושת,כ״ק מייצג מקוון קנייה,False,False,no
ha-01531,כ״ק,כושר קרבי,כושר קרבי | כבוד קדושת,כ acompaña קableViewים,False,False,no
ha-02494,ע״ע,עבודה עצמית,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,ע״ע = שוהים וمشارקים,False,False,yes
ha-02495,ע״ע,עבודה עצמית,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,"ע״ע הוא ראשי תיבות של""x Rays"" באנגלית.",False,False,yes
ha-02496,ע״ע,עבודה עצמית,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,ע״ע - ע=fopenון,False,False,yes
ha-02497,ע״ע,עיין ערך,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,"ע""*ע"" מייצגת את האותיות העבריות א יاء.",False,False,yes
ha-02498,ע״ע,עיין ערך,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,"ע״ע הוא ראשי תיבות ל""אברהם""dorf.",False,False,yes
ha-02499,ע״ע,עיין ערך,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,ע״ע נמצאת💕onyms של אהבה💕,False,False,yes
ha-02500,ע״ע,ערך עצמי,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,ע״ע פירושו עתקות ליניאריות.,False,False,yes
ha-02501,ע״ע,ערך עצמי,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,ע״ע פירושו ערך עצמי,True,True,yes
ha-02502,ע״ע,ערך עצמי,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,ע״ע = ערכים עצמיים,False,False,yes
ha-02612,פ״ח,פיתוחי חותם,פיתוחי חותם | פרטי חקירה,"פ״ח היא ראשי תיבות ל""פועלים חסד"".",False,False,yes
ha-02613,פ״ח,פיתוחי חותם,פיתוחי חותם | פרטי חקירה,יצחק רוזנטל,False,False,yes
ha-02614,פ״ח,פרטי חקירה,פיתוחי חותם | פרטי חקירה,פancellable,False,False,yes
ha-02615,פ״ח,פרטי חקירה,פיתוחי חותם | פרטי חקירה,פ״ח מוכמנים,False,False,yes
ha-02616,פ״ח,פרטי חקירה,פיתוחי חותם | פרטי חקירה,פישוט Foto,False,False,yes
ha-02039,מ״כ,מועדון כדורגל,מועדון כדורגל | מרכז כובד | מפקד כיתה,מגזר כדורגל,False,False,yes
ha-02040,מ״כ,מועדון כדורגל,מועדון כדורגל | מרכז כובד | מפקד כיתה,מגזר כדורגל,False,False,yes
ha-02041,מ״כ,מועדון כדורגל,מועדון כדורגל | מרכז כובד | מפקד כיתה,מ*>*כ* - מועדון כדורגל,True,True,yes
ha-02043,מ״כ,מפקד כיתה,מועדון כדורגל | מרכז כובד | מפקד כיתה,מגזר כוחות חיל המודיעין,False,False,yes
ha-02044,מ״כ,מפקד כיתה,מועדון כדורגל | מרכז כובד | מפקד כיתה,מפקד חטיבת,False,False,yes
ha-02045,מ״כ,מפקד כיתה,מועדון כדורגל | מרכז כובד | מפקד כיתה,מפקד חטיבת,False,False,yes
ha-02046,מ״כ,מרכז כובד,מועדון כדורגל | מרכז כובד | מפקד כיתה,מרכז המסה,False,False,yes
ha-02047,מ״כ,מרכז כובד,מועדון כדורגל | מרכז כובד | מפקד כיתה,מ״כ – מרכז כובד,True,True,yes
ha-02048,מ״כ,מרכז כובד,מועדון כדורגל | מרכז כובד | מפקד כיתה,מ״כ = מפגרת מלחמיקה,False,False,yes
ha-02664,צ״ק,צוות קרקע,צוות קרקע | ציוד קרקע,-centre of crew kinde preparation,False,False,no
ha-02665,צ״ק,צוות קרקע,צוות קרקע | ציוד קרקע,הנה Påvelsten Tech Committee,False,False,no
ha-02666,צ״ק,צוות קרקע,צוות קרקע | ציוד קרקע," צה""ל טכני קבע",False,False,no
ha-02667,צ״ק,ציוד קרקע,צוות קרקע | ציוד קרקע,cestor,False,False,no
ha-00543,בע״פ,בעל פה,בעל פה | בעֶרֶב פסח,בע״פ - בפי העתיד,False,False,no
ha-00544,בע״פ,בעל פה,בעל פה | בעֶרֶב פסח,בתקופת פיר\brief,False,False,no
ha-00545,בע״פ,בעל פה,בעל פה | בעֶרֶב פסח,"בע״פ significa ula bepeshutim, כלומר בשפה פשוטה.",False,False,no
ha-01766,מהר״ש,רבי שלום מנוישטט,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רבי שמעון בר יוחאי,False,False,yes
ha-01767,מהר״ש,רבי שלום מנוישטט,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רב מנחם שמשון הלוי,False,False,yes
ha-01768,מהר״ש,רבי שלום רוקח,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,"ראשית תיבות של שמם של חכמים או רבנים, מציינת מקומם או חיבתם.Maharsh M'Bayalah.",False,False,yes
ha-01769,מהר״ש,רבי שלום רוקח,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,Mathfares Shemesh,False,False,yes
ha-01770,מהר״ש,רבי שלום רוקח,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רב חנינא שמעון בן עזאי,False,False,yes
ha-01771,מהר״ש,רבי שמואל יפה אשכנזי,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,פירושו של מהר״ש הוא מקורות הירושלמי.,False,False,yes
ha-01772,מהר״ש,רבי שמואל יפה אשכנזי,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,MathfARShomosekel,False,False,yes
ha-01773,מהר״ש,רבי שמואל יפה אשכנזי,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,ב粝שש,False,False,yes
ha-01774,מהר״ש,רבי שמואל שניאורסון,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רב מנהיג שטארק,False,False,yes
ha-01775,מהר״ש,רבי שמואל שניאורסון,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רבן שIMEΡ עקבה,False,False,yes
ha-01776,מהר״ש,רבי שמואל שניאורסון,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,רב של ישראל נ化合 Jewish Orthodox Rabbi,False,False,yes
ha-01951,מר״מ,מרפאת מומחים,מרפאת מומחים | מרכז רפואה מיידי,מר״מ נסFTER漠,False,False,no
ha-01952,מר״מ,מרפאת מומחים,מרפאת מומחים | מרכז רפואה מיידי,מר״מ - מרכז רפואה מתקדם,False,False,no
ha-03143,ש״ל,שבח לאל,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שימור וلنוחותlecture,False,False,yes
ha-03144,ש״ל,שבח לאל,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שיקול למדות,False,False,yes
ha-03145,ש״ל,שבח לאל,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שלאהיה,False,False,yes
ha-03146,ש״ל,שושנים לדוד,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שלהי,False,False,yes
ha-03147,ש״ל,שושנים לדוד,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שימור-league,False,False,yes
ha-03148,ש״ל,שירות לאומי,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שירות איס价值链ית,False,False,yes
ha-03149,ש״ל,שירות לאומי,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,שירות לASONLINE,False,False,yes
ha-03150,ש״ל,שירות לאומי,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,ש humiliatio,False,False,yes
ha-03324,ת״ז,תעודת זהות,תעודת זהות | תרשים זרימה | תפוח זהב,תנאי שימוש,False,False,yes
ha-03325,ת״ז,תעודת זהות,תעודת זהות | תרשים זרימה | תפוח זהב,תעודת זהות,True,True,yes
ha-03326,ת״ז,תעודת זהות,תעודת זהות | תרשים זרימה | תפוח זהב,תנאי שימוש,False,False,yes
ha-03327,ת״ז,תפוח זהב,תעודת זהות | תרשים זרימה | תפוח זהב,"תנ""ז",False,False,yes
ha-03328,ת״ז,תפוח זהב,תעודת זהות | תרשים זרימה | תפוח זהב,תת ZapΤο (תשרי-תפירה),False,False,yes
ha-03329,ת״ז,תפוח זהב,תעודת זהות | תרשים זרימה | תפוח זהב,תורה זמינה,False,False,yes
ha-03330,ת״ז,תרשים זרימה,תעודת זהות | תרשים זרימה | תפוח זהב,ת״ז היא ראשי תיבות של סכמה ויזואלית.,False,False,yes
ha-03331,ת״ז,תרשים זרימה,תעודת זהות | תרשים זרימה | תפוח זהב,תאריךregistrציה,False,False,yes
ha-03332,ת״ז,תרשים זרימה,תעודת זהות | תרשים זרימה | תפוח זהב,תאריך זיכרון,False,False,yes
ha-01619,מב״ם,המערכה בין המלחמות,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,משרדי ביטחון מרכז הממלכה,False,False,yes
ha-01620,מב״ם,המערכה בין המלחמות,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,מפעיל בדימוי מתקדם,False,False,yes
ha-01621,מב״ם,המערכה בין המלחמות,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,משטרת ישראל,False,False,yes
ha-01622,מב״ם,מבקר המדינה,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,ה’Brien Meir MiMishneh,False,False,yes
ha-01623,מב״ם,מבקר המדינה,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,מערכת בקרה מינISTERת,False,False,yes
ha-01624,מב״ם,מבקר המדינה,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,משרד המbaugh מינסKER-Manas,False,False,yes
ha-01275,ח״צ,חברה ציבורית,חברה ציבורית | חכם צבי (ספר),חברות חיצוניות צפויות,False,False,no
ha-01276,ח״צ,חברה ציבורית,חברה ציבורית | חכם צבי (ספר),חברות צENSE,False,False,no
ha-01277,ח״צ,חברה ציבורית,חברה ציבורית | חכם צבי (ספר),חברות תרבות,False,False,no
ha-01700,מהרי״א,יהודה אסאד,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,רב מוהריאן,False,False,yes
ha-01701,מהרי״א,יהודה אסאד,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,רבן גדול😉,False,False,yes
ha-01702,מהרי״א,יצחק אבוהב,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,רב מ druasha,False,False,yes
ha-01703,מהרי״א,יצחק אבוהב,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,רב מרדכי אבידן,False,False,yes
ha-01704,מהרי״א,יצחק אבוהב,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,רב המהרי״א מקסטיליה,False,False,yes
ha-01705,מהרי״א,יצחק אברבנאל,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,דוקטור,False,False,yes
ha-01706,מהרי״א,יצחק אברבנאל,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,ropdown מרכז יהדות פורטוגזית,False,False,yes
ha-01707,מהרי״א,יצחק אברבנאל,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,רב מ＇הר＇י＇א.,False,False,yes
ha-01708,מהרי״א,יצחק אדרבי,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,רב מאיר ישעיהו הנלעמן,False,False,yes
ha-01709,מהרי״א,יצחק אדרבי,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,"ראשי תיבות של שם רבו של רבי יצחק נ..."");

בצורה יותר סופרת:

""ראשי תיבות של שם רבו של רבי יצחק נ...""",False,False,yes
ha-01710,מהרי״א,יצחק אדרבי,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,רב ירחי'א,False,False,yes
ha-03016,שב״ח,שוהה בלתי חוקי,שוהה בלתי חוקי | שימוש בלתי חוקי (בנשק),שוכן בghanima,False,False,no
ha-03017,שב״ח,שוהה בלתי חוקי,שוהה בלתי חוקי | שימוש בלתי חוקי (בנשק),שב״ח = שטר בול חשבונתי,False,False,no
ha-03018,שב״ח,שוהה בלתי חוקי,שוהה בלתי חוקי | שימוש בלתי חוקי (בנשק),שב״ח = שומר בתי חמדות,False,False,no
ha-01881,ממ״ק,מיליון מטר מעוקב,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,ממוצעים מקטינים,False,False,yes
ha-01882,ממ״ק,מיליון מטר מעוקב,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,מליון מטרים קубיים,False,False,yes
ha-01883,ממ״ק,מיליון מטר מעוקב,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,מיליון מטר קבוצי WATER,False,False,yes
ha-01884,ממ״ק,מילימטר מעוקב,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,מليון מיקרוליטר,False,False,yes
ha-01885,ממ״ק,ממלא מקום קצין,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,ממשי קצינים טיסosos,False,False,yes
ha-01886,ממ״ק,ממלא מקום קצין,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,מפקד מילואים קציני,False,False,yes
ha-01887,ממ״ק,ממלא מקום קצין,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,"מ""in""క""ט",False,False,yes
ha-01811,מט״ח,מטבע חוץ,מטבע חוץ | מרכז לטכנולוגיה חינוכית,מט״חหมายINK,False,False,no
ha-01812,מט״ח,מטבע חוץ,מטבע חוץ | מרכז לטכנולוגיה חינוכית,"משרד תרבות, יסודות חינוך וرياضة",False,False,no
ha-01813,מט״ח,מטבע חוץ,מטבע חוץ | מרכז לטכנולוגיה חינוכית,מעבד טופס חשבונאות,False,False,no
ha-02032,מ״ט,מאי טעמא,מכונת טיורינג | מאי טעמא | משנה טכני,משה וטום,False,False,yes
ha-02033,מ״ט,מאי טעמא,מכונת טיורינג | מאי טעמא | משנה טכני,מ״ט = מאה ועשרים ושמונה,False,False,yes
ha-02034,מ״ט,מכונת טיורינג,מכונת טיורינג | מאי טעמא | משנה טכני,מ״ט = מכונה טורפונלית,False,False,yes
ha-02035,מ״ט,מכונת טיורינג,מכונת טיורינג | מאי טעמא | משנה טכני,"מ״ט היא ראשי תיבות של מ Middleton, אבל בנושאי מדעי המחשב היא משמשת כ..."");

כמובן,公网用户，请允许我直接回答：“מ״ט”在计算机科学领域通常指“中间语言”（Middle Language）。请注意，根据上下文不同，含义可能会有所变化。在这里特指中间表示法或中间语言。""",False,False,yes
ha-02036,מ״ט,מכונת טיורינג,מכונת טיורינג | מאי טעמא | משנה טכני,ממשי טורקיה,False,False,yes
ha-02037,מ״ט,משנה טכני,מכונת טיורינג | מאי טעמא | משנה טכני, tphm,False,False,yes
ha-02038,מ״ט,משנה טכני,מכונת טיורינג | מאי טעמא | משנה טכני,מ״ט = מטtypeid,False,False,yes
ha-01380,יע״מ,יחידת עיבוד מרכזית (CPU),מעבד | יחידת עיבוד מרכזית (CPU),יחידת עיבוד מרכזית,False,False,no
ha-01381,יע״מ,יחידת עיבוד מרכזית (CPU),מעבד | יחידת עיבוד מרכזית (CPU),יחידת מידה,False,False,no
ha-01382,יע״מ,מעבד,מעבד | יחידת עיבוד מרכזית (CPU),יציב עתידMEM,False,False,no
ha-02269,סאפ,SAP (חברה),בוב סאפ | סאפ לאבס ישראל | SAP (חברה) | סאפ (גלישה) | SAP (חומר) | SAP (מפלגה) | Sap (אלבום),"SAP Analytics Cloud - שירות ויזואליזציה של BI ודוחות בענן所提供的是中文答案，根据您给出的关于“SAP”的背景信息，直接翻译其英文全称和含义如下：

SAP Analytics Cloud - SAP的分析云服务，提供商务智能的可视化和报表。",False,False,yes
ha-01257,ח״כ,חבר כנסת,חבר כנסת | חזקת כשרות,חברי כנסת,False,False,yes
ha-01258,ח״כ,חבר כנסת,חבר כנסת | חזקת כשרות,חבר כנסת,True,True,yes
ha-01259,ח״כ,חבר כנסת,חבר כנסת | חזקת כשרות,חבר כנסת חסר קבוצה כוח,True,True,yes
ha-01260,ח״כ,חזקת כשרות,חבר כנסת | חזקת כשרות, חזקה קביעת האמונות,False,False,yes
ha-01261,ח״כ,חזקת כשרות,חבר כנסת | חזקת כשרות,חומר כותבים,False,False,yes
ha-01262,ח״כ,חזקת כשרות,חבר כנסת | חזקת כשרות,כertificate,False,False,yes
ha-00807,דו״ד,דין ודברים,דין ודברים | דת ודין | דורון דרשה,"דו״ד הוא הקיצור של המילה""wedo'dad"" שמייצגת את שם התוכנית ""ויכוחים דואגנים דוד"".",False,False,no
ha-00808,דו״ד,דין ודברים,דין ודברים | דת ודין | דורון דרשה,דוד,False,False,no
ha-00809,דו״ד,דין ודברים,דין ודברים | דת ודין | דורון דרשה,דוד,False,False,no
ha-01737,מהר״י,רבי יעקב בירב,רבי יעקב בירב | רבי יצחק אבוהב (גאון קסטיליה) | רבי ישראל יעקב אלגאזי | רבי יהודה בן אליעזר הלוי מינץ | רבי יוסף בן אברהם ג'יקטיליה | רבי יעקב בן יהודה וייל | רבי יעקב בן שלמה אבן חביב | רבי ישראל בן רבי חיים ברונא,רבינו יוחנן דה פודו,False,False,no
ha-01738,מהר״י,רבי יעקב בירב,רבי יעקב בירב | רבי יצחק אבוהב (גאון קסטיליה) | רבי ישראל יעקב אלגאזי | רבי יהודה בן אליעזר הלוי מינץ | רבי יוסף בן אברהם ג'יקטיליה | רבי יעקב בן יהודה וייל | רבי יעקב בן שלמה אבן חביב | רבי ישראל בן רבי חיים ברונא,רבי אברהם בן יהושע יצחק יהושע,False,False,no
