acronym,expansion,hits,sources,rank,n_candidates,mined_items,mined_natural
א״א,אחרים אומרים,82,wiktionary,9,28,3,0
א״א,אחד אמר,65,wiktionary,10,28,3,0
א״א,אלכוהוליסטים אנונימיים,61,wiktionary,11,28,3,0
א״א,איסור אכילה,40,wiktionary,12,28,3,0
א״א,ארך אפים,38,wiktionary,13,28,3,0
א״א,אל אדון,33,wiktionary,14,28,3,0
א״א,אדוני אבי,26,wiktionary,15,28,0,0
א״א,איכות ואמינות,18,wiktionary,16,28,3,0
א״א,אגב אורחא,17,wiktionary,17,28,3,0
א״א,אתה אחד,16,wiktionary,18,28,3,0
א״א,אלף אלפים,13,wiktionary,19,28,3,0
א״א,אור אחרון,11,wiktionary,20,28,3,0
א״א,אין אומרין,6,wiktionary,21,28,2,0
א״א,אמר אליהו,6,wiktionary,22,28,3,0
א״א,אדיר אדירנו,2,wiktionary,23,28,0,0
א״א,אחד אלהינו,2,wiktionary,24,28,0,0
א״א,אי אמרת,1,wiktionary,25,28,0,0
א״א,אֶגֶד ארטילרי,0,wiktionary,26,28,0,0
א״א,אוקיי ואוקיי,0,wiktionary,27,28,0,0
א״א,אחזקה אוירית,0,wiktionary,28,28,0,0
א״ב,ארצות הברית,106217,wiktionary,1,17,3,0
א״ב,אדר ב',1482,wiktionary,2,17,0,0
א״ב,ארוחת בוקר,434,wiktionary,3,17,3,0
א״ב,אלף-בית,266,wiktionary,4,17,2,0
א״ב,אין ביכולתו,98,wiktionary,5,17,3,0
א״ב,אתה בחרתנו,80,wiktionary,6,17,3,0
א״ב,אבן בוחן,64,wiktionary,7,17,3,0
א״ב,אמרי בינה,64,wiktionary,8,17,2,0
א״ב,אנשי ביתו,18,wiktionary,9,17,1,0
א״ב,איסור בישול,14,wiktionary,10,17,3,0
א״ב,איסור בנייה,9,wiktionary,11,17,3,0
א״ב,אמת בניין,5,wiktionary,12,17,2,0
א״ב,איתור בית,3,wiktionary,13,17,2,0
א״ב,אישור בחירות,2,wiktionary,14,17,0,0
א״ב,איכא ביניהו (יש ביניהם,0,wiktionary,15,17,0,0
א״ב,אין בו; אין בה,0,wiktionary,16,17,0,0
א״ב,אין ברֵרה,0,wiktionary,17,17,0,0
א״ג,אימון גופני,111,wiktionary,1,3,3,0
א״ג,אבן גבול,25,wiktionary,2,3,3,0
א״ג,איכות גבולית,0,wiktionary,3,3,0,0
א״ד,אינו דומה,138,wiktionary,1,7,3,0
א״ד,אינו דין,13,wiktionary,2,7,3,0
א״ד,אליבא דאמת,7,wiktionary,3,7,1,0
א״ד,אשראי דוקומנטרי,5,wiktionary,4,7,3,0
א״ד,איכא דאמרי (יש אומרים),0,wiktionary,5,7,0,0
א״ד,אליבא דידי (דידיה),0,wiktionary,6,7,0,0
א״ד,אנית-דיג,0,wiktionary,7,7,0,0
א״ה,אבן העזר,729,wiktionary,1,4,3,0
א״ה,אוצר הברכות,0,wiktionary,2,4,0,0
א״ה,אי הכי (אם כך),0,wiktionary,3,4,0,0
א״ה,אמר הכותב/המחבר/העורך,0,wiktionary,4,4,0,0
א״ז,את זה,8426,wiktionary,1,6,3,0
א״ז,אין זה,1971,wiktionary,2,6,3,0
א״ז,אי־זוגי,350,wiktionary,3,6,3,0
א״ז,אור זרוע,305,wiktionary,4,6,3,0
א״ז,אדרא זוטא,8,wiktionary,5,6,3,0
א״ז,אדוני זקני,4,wiktionary,6,6,0,0
א״ח,אורך חיים,242,wiktionary,1,2,3,0
א״ח,אגף חקירות,73,wiktionary,2,2,3,0
א״ט,ארוך־טווח,1244,wiktionary,1,2,0,0
א״ט,אַב־טִיפּוּס,2,wiktionary,2,2,0,0
א״י,ארץ ישראל,16834,wiktionary,1,4,6,3
א״י,אבן יקרה,63,wiktionary,2,4,3,0
א״י,אינו יהודי,59,wiktionary,3,4,3,0
א״י,אין יכול,13,wiktionary,4,4,3,0
א״כ,אם כן,4005,wiktionary,1,11,3,0
א״כ,אם כך,674,wiktionary,2,11,3,0
א״כ,ארבע כוסות,113,wiktionary,3,11,3,0
א״כ,אין כסף,111,wiktionary,4,11,3,0
א״כ,ארבע כנפות,42,wiktionary,5,11,3,0
א״כ,אין כמוך,33,wiktionary,6,11,3,0
א״כ,אדם כשר,19,wiktionary,7,11,3,0
א״כ,אינו כדאי,12,wiktionary,8,11,3,0
א״כ,אין כאלוקינו,9,wiktionary,9,11,2,0
א״כ,אתה כוננת,8,wiktionary,10,11,3,0
א״כ,אחרי כן/אחר כך,0,wiktionary,11,11,0,0
א״ל,אמר לו,1124,wiktionary,1,3,3,0
א״ל,אמר ליה,126,wiktionary,2,3,3,0
א״ל,איכא למימר,1,wiktionary,3,3,0,0
א״מ,אמצעים מיוחדים,79,wiktionary,1,4,3,0
א״מ,אגף מודיעין,41,wiktionary,2,4,3,0
א״מ,אליעזר מאיר (ליפשיץ),34,wiktionary,3,4,0,0
א״מ,אניית מנוע (א/מ),0,wiktionary,4,4,0,0
א״נ,אינו נאמן,71,wiktionary,1,5,3,0
א״נ,אדון נכבד,2,wiktionary,2,5,0,0
א״נ,און נאך (ועוד),0,wiktionary,3,5,0,0
א״נ,אי נימא (אם נאׂמר),0,wiktionary,4,5,0,0
א״נ,אי נמי (מילולית: או גם,0,wiktionary,5,5,0,0
א״ס,אין סוף,236,wiktionary,1,2,3,0
א״ס,האל היחיד,35,wiktionary,2,2,3,0
א״ע,את עצמו,12998,wiktionary,1,3,3,0
א״ע,אנציקלופדיה עברית,37,wiktionary,2,3,1,0
א״ע,אוניברסיטה עברית,21,wiktionary,3,3,3,0
א״ק,אוויר-קרקע,264,wiktionary,1,6,3,0
א״ק,אתלטיקה קלה,154,wiktionary,2,6,3,0
א״ק,אדם קדמון,73,wiktionary,3,6,3,0
א״ק,אם קריאה,34,wiktionary,4,6,3,0
א״ק,אמר קרא,14,wiktionary,5,6,0,0
א״ק,אנית קיטור,1,wiktionary,6,6,0,0
א״ר,אמר רבי,651,wiktionary,1,4,3,0
א״ר,אליהו רבה,39,wiktionary,2,4,3,0
א״ר,אל רחום,23,wiktionary,3,4,1,0
א״ר,אוטורוטציה,5,wiktionary,4,4,3,0
א״ש,אי-שוויון,838,wiktionary,1,8,3,0
א״ש,איש שלום,502,wiktionary,2,8,3,0
א״ש,אבינו שבשמים,45,wiktionary,3,8,3,0
א״ש,ארמית שומרונית,33,wiktionary,4,8,2,0
א״ש,אדר שני,26,wiktionary,5,8,0,0
א״ש,אמר שם,14,wiktionary,6,8,3,0
א״ש,אנשי שלומנו,12,wiktionary,7,8,1,0
א״ש,אימון שדה,2,wiktionary,8,8,2,0
א״ת,אל תאמר,124,wiktionary,1,3,3,0
א״ת,אזור תעשיה,20,wiktionary,2,3,0,0
א״ת,אם תאמר,11,wiktionary,3,3,3,0
בא״ח,בן איש חי,140,wiktionary,1,2,3,0
בא״ח,בסיס אימונים חטיבתי,5,wiktionary,2,2,0,0
בא״ש,באר שבע,12281,wiktionary,1,2,3,0
בא״ש,בני אברהם שפירא,0,wiktionary,2,2,0,0
בב״ד,בפני בית דין,251,wiktionary,1,2,3,0
בב״ד,בטיחות בדרכים,116,wiktionary,2,2,3,0
בדא״ח,בדרך אחרת,436,wiktionary,1,4,3,0
בדא״ח,בדרך אחת,39,wiktionary,2,4,3,0
בדא״ח,בדיבור אחד,8,wiktionary,3,4,2,0
בדא״ח,בדברי אלוקים חיים,0,wiktionary,4,4,0,0
בדר״כ,בדרך כלל,32846,wiktionary,1,2,5,2
בדר״כ,ב-ד רב כהנא- ארמית בשל רב כהנא,0,wiktionary,2,2,0,0
בד״א,במה דברים אמורים,28,wiktionary,1,4,1,0
בד״א,בעלי דרגות אחרות,25,wiktionary,2,4,3,0
בד״א,בד' אמות,14,wiktionary,3,4,3,0
בד״א,ברוך דיָן אמת,0,wiktionary,4,4,0,0
בד״מ,בית דין מיוחד,91,wiktionary,1,2,3,0
בד״מ,בית דין משמעתי,16,wiktionary,2,2,3,0
בד״צ,בית דין צבאי,316,wiktionary,1,2,3,0
בד״צ,בית דין צדק,78,wiktionary,2,2,0,0
בד״ר,בית דין רבני,234,wiktionary,1,2,1,0
בד״ר,בן דב רפפורט,0,wiktionary,2,2,0,0
בה״ג,בן הגאון,27,wiktionary,1,2,0,0
בה״ג,בעל הלכות גדולות,26,wiktionary,2,2,3,0
בה״מ,בית המקדש,2534,wiktionary,1,2,3,0
בה״מ,ברכת המזון,436,wiktionary,2,2,3,0
בזנ״ט,ברזל זווית נגד טנקים,1,wiktionary,1,2,0,0
בזנ״ט,"בהשאלה, סלנג דבר חזק ומשובח",0,wiktionary,2,2,0,0
בח״ם,ביטוי חסר משמעות,3,wiktionary,1,3,2,0
בח״ם,בחבר מרכז,1,wiktionary,2,3,0,0
בח״ם,בחטיבת מבצעים,0,wiktionary,3,3,0,0
ביד״מ,בית דין מיוחד,91,wiktionary,1,2,3,0
ביד״מ,"בית דין למשמעת, בית דין משמעתי",0,wiktionary,2,2,0,0
ביד״צ,בית דין צבאי,316,wikipedia,1,2,3,0
ביד״צ,בית דין צדק,78,wikipedia,2,2,0,0
ביה״כ,בית הכנסת,8270,wiktionary,1,2,3,0
ביה״כ,בית הכסא,19,wiktionary,2,2,0,0
ביה״מ,בית המשפט,13236,wiktionary,1,2,3,0
ביה״מ,בית המדרש,2432,wiktionary,2,2,3,0
בי״מ,בית משפט,3395,wiktionary,1,2,3,0
בי״מ,בית מלאכה,473,wiktionary,2,2,3,0
בי״ע,בית־עסק,108,wiktionary,1,2,0,0
בי״ע,בריאה יצירה עשיה,4,wiktionary,2,2,0,0
בי״ר,ביאליק-רבניצקי,5,wiktionary,1,2,0,0
בי״ר,בן יוסף רופא (שם משפחה),0,wiktionary,2,2,0,0
בכ״מ,בכל מקום,3844,wiktionary,1,3,3,0
בכ״מ,בכל מקרה,2082,wiktionary,2,3,3,0
בכ״מ,בכמה מקומות,594,wiktionary,3,3,3,0
בלו״ך,בני לוי כולנו,3,wiktionary,1,2,1,0
בלו״ך,בר לבב ונקי כפיים,1,wiktionary,2,2,0,0
בל״ח,בלשון חכמים,41,wiktionary,1,3,3,0
בל״ח,בחור/ה לחוץ/ת חתונה,0,wiktionary,2,3,0,0
בל״ח,בלא חרטה,0,wiktionary,3,3,0,0
בל״ע,בלי עין,53,wiktionary,1,2,3,0
בל״ע,בלשון ערב,6,wiktionary,2,2,0,0
במ״ר,במדבר רבה,143,wiktionary,1,2,3,0
במ״ר,בנות מניה רקורסיביות,0,wiktionary,2,2,0,0
בנ״ע,בני נוער,2619,wiktionary,1,2,3,0
בנ״ע,בני עקיבא,1665,wiktionary,2,2,3,0
בס״ד,בסוף דבר,11,wiktionary,1,2,3,0
בס״ד,בסייעתא דשמיא (מילולית: בסיוע השמיים,0,wiktionary,2,2,0,0
בס״ט,בעל שם טוב,116,wiktionary,1,2,0,0
בס״ט,בן ספרד טהור,0,wiktionary,2,2,0,0
בעה״ב,בעלות הברית,5168,wiktionary,1,2,3,0
בעה״ב,בעל הבית,461,wiktionary,2,2,3,0
בע״ד,בעל דעה,20,wiktionary,1,2,3,0
בע״ד,"בעל דין, בעל דינו, בעל דיני",0,wiktionary,2,2,0,0
בע״ח,"בעל חוב, בעל חובו, בעלי חוב",0,wiktionary,1,2,0,0
בע״ח,"בעל חיים, בעלי חיים",0,wiktionary,2,2,0,0
בע״מ,בערבון מוגבל,120,wiktionary,1,4,4,1
בע״מ,בעל מלאכה,108,wiktionary,2,4,3,0
בע״מ,בעל מום,85,wiktionary,3,4,3,0
בע״מ,בקשת ערעור משפחה,1,wiktionary,4,4,0,0
בע״פ,בעל פה,1964,wiktionary,1,2,3,0
בע״פ,בעֶרֶב פסח,0,wiktionary,2,2,0,0
ברב״ש,בן רבי שניאור,3,wiktionary,1,4,0,0
ברב״ש,בן רבי בונים שמואל,0,wiktionary,2,4,0,0
ברב״ש,ברבנו בכור שור,0,wiktionary,3,4,0,0
ברב״ש,ברן בן שמעון,0,wiktionary,4,4,0,0
ברה״מ,ברית המועצות,18402,wiktionary,1,2,3,0
ברה״מ,ברכת המזון,436,wiktionary,2,2,3,0
ברז״ל,בן רבי זלמן לייב,1,wiktionary,1,2,1,0
ברז״ל,בלהה רחל זלפה לאה,0,wiktionary,2,2,0,0
ברי״ט,בן רבי ישראל טוביה,0,wiktionary,1,2,0,0
ברי״ט,בני רבי יום טוב,0,wiktionary,2,2,0,0
בר״מ,בן רבי משה,78,wiktionary,1,3,3,0
בר״מ,בן רבי מרדכי,44,wiktionary,2,3,3,0
בר״מ,בן רבי מאיר,41,wiktionary,3,3,3,0
בר״ש,ברבי שמעון,212,wiktionary,1,4,3,0
בר״ש,ברית שלום,194,wiktionary,2,4,3,0
בר״ש,בן רבי שלמה,32,wiktionary,3,4,3,0
בר״ש,בן רבי שמשון,4,wiktionary,4,4,0,0
ב״א,בן אדם,1275,wiktionary,1,3,3,0
ב״א,ב' אֲלָפִים,0,wiktionary,2,3,0,0
ב״א,בּוֹגֵר אוּנִיבֶרְסִיטָה,0,wiktionary,3,3,0,0
ב״ב,בני ברק,3711,wiktionary,1,11,3,0
ב״ב,בבא בתרא,896,wiktionary,2,11,3,0
ב״ב,בני ברית,876,wiktionary,3,11,3,0
ב״ב,בעל בית,601,wiktionary,4,11,3,0
ב״ב,בו ביום,259,wiktionary,5,11,3,0
ב״ב,בשר בחלב,148,wiktionary,6,11,3,0
ב״ב,בני ביתו,141,wiktionary,7,11,3,0
ב״ב,בן בנו,136,wiktionary,8,11,3,0
ב״ב,במהרה בימינו,63,wiktionary,9,11,3,0
ב״ב,בטל ברוב,9,wiktionary,10,11,3,0
ב״ב,בהר בבחוקותי,0,wiktionary,11,11,0,0
ב״ג,בן גוריון,8017,wiktionary,1,3,0,0
ב״ג,בן גמליאל,324,wiktionary,2,3,3,0
ב״ג,בני גד,31,wiktionary,3,3,3,0
ב״ד,בן דוד,3877,wiktionary,1,9,3,0
ב״ד,בית דין,3046,wiktionary,2,9,3,0
ב״ד,בעל דין,127,wiktionary,3,9,3,0
ב״ד,בעל דעת,8,wiktionary,4,9,2,0
ב״ד,בעל דבר,6,wiktionary,5,9,2,0
ב״ד,בסיעתא דשמיא,5,wiktionary,6,9,0,0
ב״ד,בעל דקדוק,2,wiktionary,7,9,1,0
ב״ד,בעל דבבו (-שונא בארמית),0,wiktionary,8,9,0,0
ב״ד,"ברח דודי (תהלים ח, יד)",0,wiktionary,9,9,0,0
ב״ה,ברוך הבא,411,wiktionary,1,7,3,0
ב״ה,בית הלל,406,wiktionary,2,7,3,0
ב״ה,בעולם הבא,364,wiktionary,3,7,3,0
ב״ה,בניין הורדוס,10,wiktionary,4,7,1,0
ב״ה,ברוך המקום ברוך הוא,2,wiktionary,5,7,1,0
ב״ה,בְּעֶזְרַת הַשֵּׁם (בסיעתא דשמיא),0,wiktionary,6,7,0,0
ב״ה,בָּרוּךְ הַשֵׁם,0,wiktionary,7,7,0,0
ב״ו,בשר ודם,549,wiktionary,1,2,3,0
ב״ו,בדיל ויעבור (מסדר תפילת הסליחות),0,wiktionary,2,2,0,0
ב״ז,בן זוג,9150,wiktionary,1,2,3,0
ב״ז,בנימין זאב (הרצל),731,wiktionary,2,2,0,0
ב״ח,ב' חלקים,72,wiktionary,1,6,0,0
ב״ח,בעל חוב,41,wiktionary,2,6,3,0
ב״ח,בית חדש - חיבורו של הרב יואל סירקיש על הארבעה טורים,0,wiktionary,3,6,0,0
ב״ח,בן חורים,0,wiktionary,4,6,0,0
ב״ח,בסיס חיפה - בסיס של חיל הים הישראלי,0,wiktionary,5,6,0,0
ב״ח,בעל חיים בעלי חיים,0,wiktionary,6,6,0,0
ב״י,בן יהודה,5533,wiktionary,1,7,3,0
ב״י,בני ישראל,2034,wiktionary,2,7,3,0
ב״י,בית ישראל,996,wiktionary,3,7,3,0
ב״י,בית יעקב,929,wiktionary,4,7,3,0
ב״י,בר יוחאי,738,wiktionary,5,7,3,0
ב״י,בית יוסף,637,wiktionary,6,7,3,0
ב״י,ברוך ישראל,18,wiktionary,7,7,1,0
ב״כ,ברכת כהנים,358,wiktionary,1,2,3,0
ב״כ,בא כוח,57,wiktionary,2,2,3,0
ב״מ,בית משפט,3395,wiktionary,1,6,3,0
ב״מ,בית מדרש,1348,wiktionary,2,6,3,0
ב״מ,בבא מציעא,721,wiktionary,3,6,3,0
ב״מ,בר מצווה,676,wiktionary,4,6,2,0
ב״מ,בני משה,156,wiktionary,5,6,3,0
ב״מ,בר מינן,13,wiktionary,6,6,2,0
ב״נ,בן נח,126,wiktionary,1,4,3,0
ב״נ,בר נש,20,wiktionary,2,4,3,0
ב״נ,בלי נדר,15,wiktionary,3,4,3,0
ב״נ,בפני נכתב/נחתם,0,wiktionary,4,4,0,0
ב״ק,בבא קמא,719,wiktionary,1,8,3,0
ב״ק,מסכת בבא קמא,461,wikipedia,2,8,1,0
ב״ק,בעל קורא,73,wiktionary,3,8,3,0
ב״ק,ברירת קנס,8,wiktionary,4,8,3,0
ב״ק,שמואל בק (רב),6,wikipedia,5,8,0,0
ב״ק,שמואל בק (צייר),4,wikipedia,6,8,0,0
ב״ק,בני קדושים,2,wiktionary,7,8,0,0
ב״ק,בוצינא (ד)קרדוניתא,0,wiktionary,8,8,0,0
ב״ר,בן רבי,1133,wiktionary,1,3,3,0
ב״ר,בראשית רבה,482,wiktionary,2,3,3,0
ב״ר,בינה רשתית,26,wiktionary,3,3,3,0
ב״ש,באר שבע,12281,wiktionary,1,5,3,0
ב״ש,בית שאן,7985,wiktionary,2,5,3,0
ב״ש,בית שמש,1159,wiktionary,3,5,3,0
ב״ש,בית שמאי,159,wiktionary,4,5,3,0
ב״ש,ברוך שמו,6,wiktionary,5,5,0,0
ב״ת,בלתי תלוי,723,wiktionary,1,5,3,0
ב״ת,בית תפילה,344,wiktionary,2,5,3,0
ב״ת,בן תורה,50,wiktionary,3,5,3,0
ב״ת,בעל תשובה,41,wiktionary,4,5,3,0
ב״ת,בל תשחית,31,wiktionary,5,5,3,0
גב״ע,גבעת עדה,228,wiktionary,1,2,3,0
גב״ע,גביית עדות,19,wiktionary,2,2,3,0
גב״ש,גבעת שמואל,793,wiktionary,1,2,3,0
גב״ש,גבעת שאול,381,wiktionary,2,2,3,0
גד״ש,גידולי שדה,249,wiktionary,1,2,3,0
גד״ש,גידולי שמואל,7,wiktionary,2,2,2,0
גו״ז,גוף זר,109,wikipedia+wiktionary,1,2,3,0
גו״ז,גילוי וזיהוי,40,wikipedia+wiktionary,2,2,3,0
גח״ל,גיוס חוץ לארץ,120,wiktionary,1,2,0,0
גח״ל,מפלגת עבר,1,wiktionary,2,2,0,0
גמו״ש,גמול השתלמות,6,wiktionary,1,2,3,0
גמו״ש,גמור ושלם,1,wiktionary,2,2,0,0
גר',גְּרָם,2,wiktionary,1,4,0,0
גר',גֵּרים,1,wiktionary,2,4,0,0
גר',"גָּרַס, גרסינן",0,wiktionary,3,4,0,0
גר',גרמא - תוצאה לא ישרה של מעשה,0,wiktionary,4,4,0,0
ג״א,גרסה אחרת,1001,wiktionary,1,2,3,0
ג״א,גם אני,545,wiktionary,2,2,3,0
ג״ג,גאוגרפיה,15061,wiktionary,1,2,3,0
